item_id	split	lexicality	length	morphology	lichtheim_exposure_status
wfe_0137	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0138	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0139	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0141	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0142	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0143	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0149	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0152	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0153	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0155	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0156	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0158	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0160	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0163	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0166	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0167	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0169	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0170	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0173	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0174	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0177	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0180	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0181	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0182	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0184	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0186	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0189	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0190	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0192	train	real	9	complex	TRAINED_REAL_EXACT
wfe_0193	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0195	train	real	8	complex	TRAINED_REAL_EXACT
wfe_0196	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0198	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0199	train	real	7	complex	TRAINED_REAL_EXACT
wfe_0200	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0201	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0202	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0204	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0205	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0206	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0207	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0208	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0209	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0210	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0211	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0212	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0214	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0215	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0216	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0217	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0218	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0220	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0221	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0222	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0224	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0225	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0226	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0227	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0228	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0230	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0231	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0232	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0233	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0234	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0235	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0236	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0238	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0239	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0240	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0241	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0242	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0245	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0246	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0247	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0248	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0249	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0250	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0251	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0252	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0254	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0256	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0257	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0260	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0262	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0263	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0265	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0266	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0267	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0268	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0269	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0270	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0271	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0272	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0273	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0274	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0275	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0276	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0278	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0279	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0280	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0281	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0282	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0284	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0286	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0287	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0288	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0289	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0290	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0292	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0293	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0296	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0297	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0298	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0299	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0300	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0302	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0304	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0305	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0307	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0308	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0309	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0313	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0314	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0315	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0316	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0318	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0319	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0320	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0321	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0322	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0323	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0324	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0326	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0330	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0332	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0334	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0335	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0337	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0338	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0339	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0340	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0342	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0344	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0345	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0349	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0351	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0353	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0356	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0361	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0362	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0364	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0366	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0367	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0368	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0371	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0372	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0375	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0376	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0377	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0380	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0381	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0383	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0384	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0385	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0386	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0388	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0391	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0394	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0395	train	real	7	simple	TRAINED_REAL_EXACT
wfe_0396	train	real	8	simple	TRAINED_REAL_EXACT
wfe_0399	train	real	9	simple	TRAINED_REAL_EXACT
wfe_0400	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0401	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0402	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0405	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0407	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0408	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0409	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0410	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0413	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0415	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0417	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0418	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0419	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0420	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0421	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0423	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0425	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0426	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0429	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0430	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0432	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0435	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0436	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0438	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0439	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0441	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0442	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0443	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0445	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0446	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0447	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0448	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0450	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0451	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0453	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0454	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0455	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0457	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0458	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0459	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0460	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0461	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0462	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0463	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0464	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0465	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0466	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0468	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0469	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0470	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0471	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0472	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0473	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0474	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0475	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0476	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0477	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0480	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0481	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0482	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0483	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0484	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0486	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0488	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0489	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0490	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0491	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0492	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0495	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0497	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0498	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0499	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0500	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0501	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0502	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0504	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0505	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0507	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0508	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0513	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0514	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0515	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0517	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0518	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0521	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0522	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0523	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0525	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0528	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0530	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0532	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0535	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0536	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0537	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0539	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0541	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0542	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0545	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0546	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0548	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0550	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0553	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0556	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0559	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0561	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0562	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0563	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0564	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0570	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0574	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0576	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0578	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0579	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0580	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0582	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0583	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0587	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0588	train	real	3	complex	TRAINED_REAL_EXACT
wfe_0589	train	real	4	complex	TRAINED_REAL_EXACT
wfe_0598	train	real	5	complex	TRAINED_REAL_EXACT
wfe_0600	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0602	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0604	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0605	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0608	train	real	5	simple	TRAINED_REAL_EXACT
wfe_0609	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0610	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0611	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0612	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0613	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0614	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0615	train	real	5	simple	TRAINED_REAL_EXACT
wfe_0616	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0617	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0618	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0619	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0620	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0621	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0622	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0623	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0624	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0625	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0626	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0627	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0628	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0629	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0630	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0631	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0632	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0633	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0634	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0636	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0637	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0638	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0640	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0641	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0642	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0643	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0645	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0646	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0648	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0649	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0650	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0651	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0652	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0653	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0655	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0656	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0658	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0659	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0660	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0661	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0663	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0664	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0665	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0666	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0667	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0668	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0669	train	real	5	simple	TRAINED_REAL_EXACT
wfe_0670	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0671	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0672	train	real	5	simple	TRAINED_REAL_EXACT
wfe_0673	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0674	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0675	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0676	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0677	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0678	train	real	4	simple	TRAINED_REAL_EXACT
wfe_0680	train	real	3	simple	TRAINED_REAL_EXACT
wfe_0681	train	real	3	simple	TRAINED_REAL_EXACT
