item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
12	you	10	13	Y UW	2	0.076923	1	0.5820465683937073	0.5820465683937073	0.4179534316062927	0.8655901551246643	0.08570533990859985	14.347627639770508	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	1	Y UW	BOTH_CORRECT	BOTH_CORRECT
13	it	10	14	IH T	2	0.071429	1	0.5924220085144043	0.5924220085144043	0.4075779914855957	0.8869934678077698	0.11153852939605713	12.395214080810547	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	1	IH T	BOTH_CORRECT	BOTH_CORRECT
14	not	10	15	N AA T	3	0.066667	1	0.5934700965881348	0.5934700965881348	0.40652990341186523	0.8891646265983582	0.04305875301361084	22.126075744628906	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	1	N AA T	BOTH_CORRECT	BOTH_CORRECT
15	or	10	16	AO R	2	0.0625	1	0.5210471749305725	0.5210471749305725	0.4789528250694275	0.7421192526817322	0.05692821741104126	47.368499755859375	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	1	AO R	BOTH_CORRECT	BOTH_CORRECT
16	be	10	17	B IY	2	0.058824	1	0.5459803342819214	0.5459803342819214	0.4540196657180786	0.792221188545227	0.02239769697189331	45.65760803222656	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	1	B IY	BOTH_CORRECT	BOTH_CORRECT
17	are	10	18	AA R	2	0.055556	1	0.49716609716415405	0.49716609716415405	0.502833902835846	0.6943321824073792	0.03604614734649658	58.4818000793457	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	1	AA R	BOTH_CORRECT	BOTH_CORRECT
18	from	10	19	F R AH M	4	0.052632	1	0.5320967435836792	0.5320967435836792	0.4679032564163208	0.7642818093299866	0.15920454263687134	16.459806442260742	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	1	F R AH M	BOTH_CORRECT	BOTH_CORRECT
19	at	10	20	AE T	2	0.05	1	0.520637035369873	0.520637035369873	0.47936296463012695	0.7412974834442139	0.13224148750305176	9.78799057006836	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	1	AE T	BOTH_CORRECT	BOTH_CORRECT
20	as	10	21	AE Z	2	0.047619	1	0.5568685531616211	0.5568685531616211	0.4431314468383789	0.8142314553260803	0.08454418182373047	24.643068313598633	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	1	AE Z	BOTH_CORRECT	BOTH_CORRECT
21	your	10	22	Y AO R	3	0.045455	1	0.5598717927932739	0.5598717927932739	0.4401282072067261	0.8203207850456238	0.07064050436019897	4.860902309417725	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	1	Y AO R	BOTH_CORRECT	BOTH_CORRECT
22	all	10	23	AO L	2	0.043478	1	0.5728152990341187	0.5728152990341187	0.42718470096588135	0.8466734290122986	0.06699764728546143	28.812053680419922	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	1	AO L	BOTH_CORRECT	BOTH_CORRECT
23	have	10	24	HH AE V	3	0.041667	1	0.5537025332450867	0.5537025332450867	0.44629746675491333	0.8078209161758423	0.014102041721343994	43.496768951416016	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	BOTH_CORRECT	BOTH_CORRECT
24	new	10	25	N UW	2	0.04	1	0.5545734167098999	0.5545734167098999	0.4454265832901001	0.809583306312561	0.18891584873199463	3.983839273452759	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	BOTH_CORRECT	BOTH_CORRECT
25	more	10	26	M AO R	3	0.038462	1	0.555936336517334	0.555936336517334	0.444063663482666	0.8123429417610168	0.010183215141296387	23.558000564575195	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	BOTH_CORRECT	BOTH_CORRECT
26	an	10	27	AE N	2	0.037037	1	0.5372899770736694	0.5372899770736694	0.46271002292633057	0.774718701839447	0.1983119249343872	5.434398651123047	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	BOTH_CORRECT	BOTH_CORRECT
27	was	10	28	W AA Z	3	0.035714	1	0.5402360558509827	0.5402360558509827	0.45976394414901733	0.7806464433670044	0.16104018688201904	7.796453952789307	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	BOTH_CORRECT	BOTH_CORRECT
28	we	10	29	W IY	2	0.034483	1	0.5880267024040222	0.5880267024040222	0.4119732975959778	0.8779069781303406	0.1016128659248352	16.48476791381836	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	BOTH_CORRECT	BOTH_CORRECT
29	will	10	30	W IH L	3	0.033333	1	0.5719643235206604	0.5719643235206604	0.4280356764793396	0.8449349403381348	0.09581750631332397	9.043477058410645	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	BOTH_CORRECT	BOTH_CORRECT
30	home	10	31	HH OW M	3	0.032258	1	0.5474515557289124	0.5474515557289124	0.45254844427108765	0.7951894998550415	0.1944454312324524	5.381972312927246	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	BOTH_CORRECT	BOTH_CORRECT
31	can	10	32	K AE N	3	0.03125	1	0.5610913634300232	0.5610913634300232	0.4389086365699768	0.8227962255477905	0.07841432094573975	18.574195861816406	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	BOTH_CORRECT	BOTH_CORRECT
32	us	10	33	AH S	2	0.030303	1	0.5055173635482788	0.5055173635482788	0.4944826364517212	0.7110351324081421	0.1600223183631897	15.998693466186523	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	BOTH_CORRECT	BOTH_CORRECT
33	about	10	34	AH B AW T	4	0.029412	1	0.5582293272018433	0.5582293272018433	0.44177067279815674	0.8169894814491272	0.21555817127227783	3.99814772605896	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	BOTH_CORRECT	BOTH_CORRECT
34	if	10	35	IH F	2	0.028571	1	0.5770699381828308	0.5770699381828308	0.4229300618171692	0.855378270149231	0.08106356859207153	19.237823486328125	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	BOTH_CORRECT	BOTH_CORRECT
35	page	10	36	P EY JH	3	0.027778	1	0.5719160437583923	0.5719160437583923	0.42808395624160767	0.844836413860321	0.14778143167495728	1.5600767135620117	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	BOTH_CORRECT	BOTH_CORRECT
36	my	10	37	M AY	2	0.027027	1	0.5565997362136841	0.5565997362136841	0.4434002637863159	0.8136866688728333	0.11195331811904907	7.045416831970215	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	BOTH_CORRECT	BOTH_CORRECT
37	has	10	38	HH AE Z	3	0.026316	1	0.5444767475128174	0.5444767475128174	0.4555232524871826	0.7891892194747925	0.07866525650024414	19.41331672668457	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	BOTH_CORRECT	BOTH_CORRECT
38	search	10	39	S ER CH	3	0.025641	1	0.5876689553260803	0.5876689553260803	0.4123310446739197	0.877168595790863	0.1402701735496521	1.4547960758209229	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	BOTH_CORRECT	BOTH_CORRECT
39	free	10	40	F R IY	3	0.025	1	0.5473933219909668	0.5473933219909668	0.4526066780090332	0.7950720191001892	0.2718641757965088	2.4450111389160156	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	BOTH_CORRECT	BOTH_CORRECT
40	but	10	41	B AH T	3	0.02439	1	0.5804498791694641	0.5804498791694641	0.4195501208305359	0.8623101711273193	0.05150723457336426	30.387033462524414	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	BOTH_CORRECT	BOTH_CORRECT
41	our	10	42	AW ER	2	0.02381	1	0.5309430360794067	0.5309430360794067	0.46905696392059326	0.7619652152061462	0.09816724061965942	27.615772247314453	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
42	one	10	43	W AH N	3	0.023256	1	0.5769592523574829	0.5769592523574829	0.4230407476425171	0.8551515340805054	0.061197876930236816	12.11152458190918	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	BOTH_CORRECT	BOTH_CORRECT
43	other	10	44	AH DH ER	3	0.022727	1	0.58624267578125	0.58624267578125	0.41375732421875	0.8742271065711975	0.0908767580986023	7.465304374694824	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	BOTH_CORRECT	BOTH_CORRECT
44	do	10	45	D UW	2	0.022222	1	0.5661471486091614	0.5661471486091614	0.4338528513908386	0.8330743312835693	0.05667757987976074	28.29322624206543	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	BOTH_CORRECT	BOTH_CORRECT
45	no	10	46	N OW	2	0.021739	1	0.5475878119468689	0.5475878119468689	0.4524121880531311	0.7954645156860352	0.04400074481964111	50.55128479003906	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	BOTH_CORRECT	BOTH_CORRECT
46	information	10	47	IH N F ER M EY SH AH N	9	0.021277	1	0.5861198902130127	0.5861198902130127	0.4138801097869873	0.8739739656448364	0.2358865737915039	1.3586070537567139	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	BOTH_CORRECT	BOTH_CORRECT
47	time	10	48	T AY M	3	0.020833	1	0.5764479041099548	0.5764479041099548	0.42355209589004517	0.8541041612625122	0.13002657890319824	12.151071548461914	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	BOTH_CORRECT	BOTH_CORRECT
48	they	10	49	DH EY	2	0.020408	1	0.5917907357215881	0.5917907357215881	0.40820926427841187	0.8856865763664246	0.07192569971084595	21.50582504272461	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	BOTH_CORRECT	BOTH_CORRECT
49	site	10	50	S AY T	3	0.02	1	0.584086537361145	0.584086537361145	0.415913462638855	0.8697859644889832	0.1258586049079895	1.4977271556854248	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	BOTH_CORRECT	BOTH_CORRECT
50	he	10	51	HH IY	2	0.019608	1	0.5476614832878113	0.5476614832878113	0.4523385167121887	0.7956132888793945	0.04069024324417114	37.791053771972656	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	BOTH_CORRECT	BOTH_CORRECT
51	up	10	52	AH P	2	0.019231	1	0.5729175209999084	0.5729175209999084	0.42708247900009155	0.8468822836875916	0.13188236951828003	10.525899887084961	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	BOTH_CORRECT	BOTH_CORRECT
52	may	10	53	M EY	2	0.018868	1	0.5337099432945251	0.5337099432945251	0.46629005670547485	0.7675222158432007	0.06230473518371582	31.62023162841797	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	BOTH_CORRECT	BOTH_CORRECT
53	what	10	54	W AH T	3	0.018519	1	0.5957384705543518	0.5957384705543518	0.4042615294456482	0.8938698768615723	0.09133797883987427	15.313531875610352	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	BOTH_CORRECT	BOTH_CORRECT
54	which	10	55	W IH CH	3	0.018182	1	0.5825158357620239	0.5825158357620239	0.4174841642379761	0.866554856300354	0.16514331102371216	4.42207145690918	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	BOTH_CORRECT	BOTH_CORRECT
55	their	10	56	DH EH R	3	0.017857	1	0.5503904223442078	0.5503904223442078	0.44960957765579224	0.8011241555213928	0.004937112331390381	38.71944808959961	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
56	news	10	57	N UW Z	3	0.017544	1	0.559269368648529	0.559269368648529	0.44073063135147095	0.8190986514091492	0.20397037267684937	2.3199222087860107	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	BOTH_CORRECT	BOTH_CORRECT
57	out	10	58	AW T	2	0.017241	1	0.5480702519416809	0.5480702519416809	0.4519297480583191	0.7964383959770203	0.03748828172683716	42.29985046386719	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	BOTH_CORRECT	BOTH_CORRECT
58	use	10	59	Y UW S	3	0.016949	1	0.57368004322052	0.57368004322052	0.42631995677948	0.8484407663345337	0.055861592292785645	5.638952255249023	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	BOTH_CORRECT	BOTH_CORRECT
59	any	10	60	EH N IY	3	0.016667	1	0.5636969804763794	0.5636969804763794	0.4363030195236206	0.8280899524688721	0.039578020572662354	19.52806282043457	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	BOTH_CORRECT	BOTH_CORRECT
60	there	10	61	DH EH R	3	0.016393	1	0.5503904223442078	0.5503904223442078	0.44960957765579224	0.8011241555213928	0.004937112331390381	38.71944808959961	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
61	see	10	62	S IY	2	0.016129	1	0.5210455060005188	0.5210455060005188	0.4789544939994812	0.7421159148216248	0.11117315292358398	17.380971908569336	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
62	only	10	63	OW N L IY	4	0.015873	1	0.5877636671066284	0.5877636671066284	0.4122363328933716	0.8773640394210815	0.08930665254592896	10.369020462036133	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	BOTH_CORRECT	BOTH_CORRECT
63	so	10	64	S OW	2	0.015625	1	0.5792685747146606	0.5792685747146606	0.42073142528533936	0.8598857522010803	0.034747540950775146	38.61983871459961	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	BOTH_CORRECT	BOTH_CORRECT
64	his	10	65	HH IH Z	3	0.015385	1	0.5442556738853455	0.5442556738853455	0.45574432611465454	0.7887435555458069	0.14226162433624268	8.003362655639648	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	BOTH_CORRECT	BOTH_CORRECT
65	when	10	66	W EH N	3	0.015152	1	0.57779860496521	0.57779860496521	0.42220139503479004	0.8568714261054993	0.1049642562866211	12.484575271606445	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	BOTH_CORRECT	BOTH_CORRECT
66	contact	10	67	K AA N T AE K T	7	0.014925	1	0.5653921365737915	0.5653921365737915	0.4346078634262085	0.8315376043319702	0.2006237506866455	1.1548612117767334	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	BOTH_CORRECT	BOTH_CORRECT
67	here	10	68	HH IY R	3	0.014706	1	0.5397250652313232	0.5397250652313232	0.46027493476867676	0.7796179056167603	0.08082318305969238	29.04499626159668	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	BOTH_CORRECT	BOTH_CORRECT
68	business	10	69	B IH Z N AH S	6	0.014493	1	0.5566080808639526	0.5566080808639526	0.44339191913604736	0.8137035965919495	0.07075363397598267	4.033804416656494	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	BOTH_CORRECT	BOTH_CORRECT
69	who	10	70	HH UW	2	0.014286	1	0.5404094457626343	0.5404094457626343	0.4595905542373657	0.7809955477714539	0.10377484560012817	10.830060005187988	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	BOTH_CORRECT	BOTH_CORRECT
70	web	10	71	W EH B	3	0.014085	1	0.5802230834960938	0.5802230834960938	0.41977691650390625	0.8618445992469788	0.1191299557685852	2.8381614685058594	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	BOTH_CORRECT	BOTH_CORRECT
71	also	10	72	AO L S OW	4	0.013889	1	0.5702320337295532	0.5702320337295532	0.4297679662704468	0.8413990139961243	0.12860780954360962	9.627042770385742	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	BOTH_CORRECT	BOTH_CORRECT
72	now	10	73	N AW	2	0.013699	1	0.5678884983062744	0.5678884983062744	0.4321115016937256	0.8366206884384155	0.10960620641708374	11.43574333190918	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	BOTH_CORRECT	BOTH_CORRECT
73	help	10	74	HH EH L P	4	0.013514	1	0.5758976936340332	0.5758976936340332	0.4241023063659668	0.8529777526855469	0.10451620817184448	3.6571903228759766	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	BOTH_CORRECT	BOTH_CORRECT
74	get	10	75	G EH T	3	0.013333	1	0.6021569967269897	0.6021569967269897	0.39784300327301025	0.9072303771972656	0.10971593856811523	6.296255588531494	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	BOTH_CORRECT	BOTH_CORRECT
75	pm	10	76	P IY EH M	4	0.013158	1	0.5240617990493774	0.5240617990493774	0.47593820095062256	0.7481608390808105	0.2856001555919647	1.5473847389221191	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	BOTH_CORRECT	BOTH_CORRECT
76	view	10	77	V Y UW	3	0.012987	1	0.5697738528251648	0.5697738528251648	0.4302261471748352	0.8404642939567566	0.10345691442489624	2.1974289417266846	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	BOTH_CORRECT	BOTH_CORRECT
77	online	10	78	AO N L AY N	5	0.012821	1	0.5938637852668762	0.5938637852668762	0.4061362147331238	0.889980673789978	0.15452271699905396	1.6573083400726318	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	BOTH_CORRECT	BOTH_CORRECT
78	c	10	79	S IY	2	0.012658	1	0.5210455060005188	0.5210455060005188	0.4789544939994812	0.7421159148216248	0.11117315292358398	17.380971908569336	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
79	first	10	80	F ER S T	4	0.0125	1	0.5786872506141663	0.5786872506141663	0.42131274938583374	0.8586933612823486	0.08490103483200073	5.75694465637207	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	BOTH_CORRECT	BOTH_CORRECT
80	am	10	81	AE M	2	0.012346	1	0.4906144440174103	0.4906144440174103	0.5093855559825897	0.6812266707420349	0.2145315706729889	5.785839080810547	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	BOTH_CORRECT	BOTH_CORRECT
81	been	10	82	B IH N	3	0.012195	1	0.5345827341079712	0.5345827341079712	0.4654172658920288	0.7692760229110718	0.03159379959106445	52.235897064208984	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	BOTH_CORRECT	BOTH_CORRECT
82	would	10	83	W UH D	3	0.012048	1	0.5861535668373108	0.5861535668373108	0.4138464331626892	0.8740434050559998	0.07307571172714233	13.744318962097168	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	BOTH_CORRECT	BOTH_CORRECT
83	how	10	84	HH AW	2	0.011905	1	0.5487771034240723	0.5487771034240723	0.45122289657592773	0.7978653907775879	0.009093880653381348	47.88261413574219	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	BOTH_CORRECT	BOTH_CORRECT
84	were	10	85	W ER	2	0.011765	1	0.5425238013267517	0.5425238013267517	0.4574761986732483	0.7852535843849182	0.0866858959197998	12.66934585571289	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	BOTH_CORRECT	BOTH_CORRECT
85	me	10	86	M IY	2	0.011628	1	0.561316192150116	0.561316192150116	0.43868380784988403	0.82325279712677	0.0922098159790039	8.306973457336426	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	BOTH_CORRECT	BOTH_CORRECT
