item_index	word	batch_dec_width	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
23	have	10	24	HH AE V	3	0.041667	1	0.5866091251373291	0.5866091251373291	0.4133908748626709	0.8749825358390808	0.10129183530807495	8.292251586914062	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	1	HH AE V	BOTH_CORRECT	BOTH_CORRECT
24	new	10	25	N UW	2	0.04	1	0.529603898525238	0.529603898525238	0.47039610147476196	0.7592771649360657	0.1581745147705078	9.069461822509766	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	1	N UW	BOTH_CORRECT	BOTH_CORRECT
25	more	10	26	M AO R	3	0.038462	1	0.5691084265708923	0.5691084265708923	0.43089157342910767	0.8391072154045105	0.05490684509277344	20.5516357421875	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	1	M AO R	BOTH_CORRECT	BOTH_CORRECT
26	an	10	27	AE N	2	0.037037	1	0.5150977373123169	0.5150977373123169	0.4849022626876831	0.7302046418190002	0.0845215916633606	19.06791877746582	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	1	AE N	BOTH_CORRECT	BOTH_CORRECT
27	was	10	28	W AA Z	3	0.035714	1	0.5431143641471863	0.5431143641471863	0.4568856358528137	0.7864434123039246	0.08840745687484741	10.367531776428223	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	1	W AA Z	BOTH_CORRECT	BOTH_CORRECT
28	we	10	29	W IY	2	0.034483	1	0.5848636627197266	0.5848636627197266	0.41513633728027344	0.871385931968689	0.04374879598617554	24.448406219482422	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	1	W IY	BOTH_CORRECT	BOTH_CORRECT
29	will	10	30	W IH L	3	0.033333	1	0.570938766002655	0.570938766002655	0.42906123399734497	0.8428411483764648	0.0432094931602478	13.413684844970703	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	1	W IH L	BOTH_CORRECT	BOTH_CORRECT
30	home	10	31	HH OW M	3	0.032258	1	0.5607874989509583	0.5607874989509583	0.43921250104904175	0.8221792578697205	0.21734821796417236	3.261603355407715	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	1	HH OW M	BOTH_CORRECT	BOTH_CORRECT
31	can	10	32	K AE N	3	0.03125	1	0.5652472972869873	0.5652472972869873	0.4347527027130127	0.8312429785728455	0.08530420064926147	19.894224166870117	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	1	K AE N	BOTH_CORRECT	BOTH_CORRECT
32	us	10	33	AH S	2	0.030303	1	0.5350653529167175	0.5350653529167175	0.46493464708328247	0.7702459692955017	0.23080724477767944	4.818078994750977	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	1	AH S	BOTH_CORRECT	BOTH_CORRECT
33	about	10	34	AH B AW T	4	0.029412	1	0.5643763542175293	0.5643763542175293	0.4356236457824707	0.8294713497161865	0.2181907296180725	3.033315658569336	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	1	AH B AW T	BOTH_CORRECT	BOTH_CORRECT
34	if	10	35	IH F	2	0.028571	1	0.581638514995575	0.581638514995575	0.41836148500442505	0.8647516369819641	0.07069766521453857	27.841272354125977	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	1	IH F	BOTH_CORRECT	BOTH_CORRECT
35	page	10	36	P EY JH	3	0.027778	1	0.5759767293930054	0.5759767293930054	0.42402327060699463	0.8531394600868225	0.18058741092681885	1.3435139656066895	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	1	P EY JH	BOTH_CORRECT	BOTH_CORRECT
36	my	10	37	M AY	2	0.027027	1	0.5470308661460876	0.5470308661460876	0.45296913385391235	0.7943406105041504	0.053936898708343506	11.432455062866211	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	1	M AY	BOTH_CORRECT	BOTH_CORRECT
37	has	10	38	HH AE Z	3	0.026316	1	0.5640072226524353	0.5640072226524353	0.4359927773475647	0.8287206888198853	0.13126927614212036	7.392016887664795	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	1	HH AE Z	BOTH_CORRECT	BOTH_CORRECT
38	search	10	39	S ER CH	3	0.025641	1	0.5735461115837097	0.5735461115837097	0.4264538884162903	0.8481670618057251	0.11980277299880981	1.6295340061187744	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	1	S ER CH	BOTH_CORRECT	BOTH_CORRECT
39	free	10	40	F R IY	3	0.025	1	0.5325191617012024	0.5325191617012024	0.4674808382987976	0.7651302814483643	0.2631228566169739	3.1379666328430176	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	1	F R IY	BOTH_CORRECT	BOTH_CORRECT
40	but	10	41	B AH T	3	0.02439	1	0.5950949192047119	0.5950949192047119	0.4049050807952881	0.892534077167511	0.07998085021972656	14.80353832244873	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	1	B AH T	BOTH_CORRECT	BOTH_CORRECT
41	our	10	42	AW ER	2	0.02381	1	0.5463750958442688	0.5463750958442688	0.4536249041557312	0.7930175065994263	0.10753709077835083	18.982707977294922	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	1	AW ER	BOTH_CORRECT	BOTH_CORRECT
42	one	10	43	W AH N	3	0.023256	1	0.5817559361457825	0.5817559361457825	0.41824406385421753	0.8649929165840149	0.1054944396018982	10.462882995605469	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	1	W AH N	BOTH_CORRECT	BOTH_CORRECT
43	other	10	44	AH DH ER	3	0.022727	1	0.5914504528045654	0.5914504528045654	0.40854954719543457	0.8849822878837585	0.08775341510772705	6.901686668395996	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	1	AH DH ER	BOTH_CORRECT	BOTH_CORRECT
44	do	10	45	D UW	2	0.022222	1	0.5627033114433289	0.5627033114433289	0.43729668855667114	0.8260703682899475	0.06944829225540161	25.881996154785156	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	1	D UW	BOTH_CORRECT	BOTH_CORRECT
45	no	10	46	N OW	2	0.021739	1	0.5565956830978394	0.5565956830978394	0.44340431690216064	0.813678503036499	0.018734633922576904	43.811214447021484	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	1	N OW	BOTH_CORRECT	BOTH_CORRECT
46	information	10	47	IH N F ER M EY SH AH N	9	0.021277	1	0.5962386727333069	0.5962386727333069	0.4037613272666931	0.894908607006073	0.2859500050544739	1.1753060817718506	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	1	IH N F ER M EY SH AH N	BOTH_CORRECT	BOTH_CORRECT
47	time	10	48	T AY M	3	0.020833	1	0.57879638671875	0.57879638671875	0.42120361328125	0.858917236328125	0.16325831413269043	7.790624618530273	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	1	T AY M	BOTH_CORRECT	BOTH_CORRECT
48	they	10	49	DH EY	2	0.020408	1	0.590926468372345	0.590926468372345	0.40907353162765503	0.8838983774185181	0.0712619423866272	22.78525733947754	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	1	DH EY	BOTH_CORRECT	BOTH_CORRECT
49	site	10	50	S AY T	3	0.02	1	0.5781537294387817	0.5781537294387817	0.42184627056121826	0.8575994372367859	0.09405636787414551	1.7488162517547607	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	1	S AY T	BOTH_CORRECT	BOTH_CORRECT
50	he	10	51	HH IY	2	0.019608	1	0.5504125952720642	0.5504125952720642	0.4495874047279358	0.8011688590049744	0.06936007738113403	36.09252166748047	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	1	HH IY	BOTH_CORRECT	BOTH_CORRECT
51	up	10	52	AH P	2	0.019231	1	0.5500732064247131	0.5500732064247131	0.44992679357528687	0.800483226776123	0.08036881685256958	23.682056427001953	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	1	AH P	BOTH_CORRECT	BOTH_CORRECT
52	may	10	53	M EY	2	0.018868	1	0.5280666947364807	0.5280666947364807	0.4719333052635193	0.7561925053596497	0.030123472213745117	52.20892333984375	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	1	M EY	BOTH_CORRECT	BOTH_CORRECT
53	what	10	54	W AH T	3	0.018519	1	0.5992693305015564	0.5992693305015564	0.4007306694984436	0.9012107253074646	0.08223623037338257	15.708956718444824	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	1	W AH T	BOTH_CORRECT	BOTH_CORRECT
54	which	10	55	W IH CH	3	0.018182	1	0.5692566633224487	0.5692566633224487	0.43074333667755127	0.8394095301628113	0.14602130651474	9.550192832946777	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	1	W IH CH	BOTH_CORRECT	BOTH_CORRECT
55	their	10	56	DH EH R	3	0.017857	1	0.540113091468811	0.540113091468811	0.45988690853118896	0.7803990244865417	0.017326831817626953	51.94178771972656	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
56	news	10	57	N UW Z	3	0.017544	1	0.5625450611114502	0.5625450611114502	0.4374549388885498	0.8257487416267395	0.1724187135696411	2.501389741897583	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	1	N UW Z	BOTH_CORRECT	BOTH_CORRECT
57	out	10	58	AW T	2	0.017241	1	0.5558587908744812	0.5558587908744812	0.4441412091255188	0.8121858239173889	0.1044236421585083	20.025827407836914	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	1	AW T	BOTH_CORRECT	BOTH_CORRECT
58	use	10	59	Y UW S	3	0.016949	1	0.582169234752655	0.582169234752655	0.41783076524734497	0.8658422827720642	0.09397643804550171	3.8908233642578125	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	1	Y UW S	BOTH_CORRECT	BOTH_CORRECT
59	any	10	60	EH N IY	3	0.016667	1	0.5815210938453674	0.5815210938453674	0.41847890615463257	0.8645103573799133	0.07786720991134644	8.784631729125977	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	1	EH N IY	BOTH_CORRECT	BOTH_CORRECT
60	there	10	61	DH EH R	3	0.016393	1	0.540113091468811	0.540113091468811	0.45988690853118896	0.7803990244865417	0.017326831817626953	51.94178771972656	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	1	DH EH R	BOTH_CORRECT	BOTH_CORRECT
61	see	10	62	S IY	2	0.016129	1	0.5030397772789001	0.5030397772789001	0.49696022272109985	0.7060796022415161	0.09166985750198364	29.33029556274414	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
62	only	10	63	OW N L IY	4	0.015873	1	0.603850245475769	0.603850245475769	0.39614975452423096	0.9107670187950134	0.15556520223617554	4.890664577484131	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	1	OW N L IY	BOTH_CORRECT	BOTH_CORRECT
63	so	10	64	S OW	2	0.015625	1	0.5828356742858887	0.5828356742858887	0.41716432571411133	0.8672124743461609	0.04931396245956421	35.43444061279297	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	1	S OW	BOTH_CORRECT	BOTH_CORRECT
64	his	10	65	HH IH Z	3	0.015385	1	0.5501513481140137	0.5501513481140137	0.44984865188598633	0.8006411194801331	0.16601550579071045	4.7033586502075195	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	1	HH IH Z	BOTH_CORRECT	BOTH_CORRECT
65	when	10	66	W EH N	3	0.015152	1	0.5632404685020447	0.5632404685020447	0.4367595314979553	0.8271618485450745	0.09185189008712769	25.61480712890625	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	1	W EH N	BOTH_CORRECT	BOTH_CORRECT
66	contact	10	67	K AA N T AE K T	7	0.014925	1	0.5730436444282532	0.5730436444282532	0.4269563555717468	0.8471400737762451	0.16935235261917114	1.2076380252838135	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	1	K AA N T AE K T	BOTH_CORRECT	BOTH_CORRECT
67	here	10	68	HH IY R	3	0.014706	1	0.5431482791900635	0.5431482791900635	0.4568517208099365	0.7865117192268372	0.10769325494766235	16.892559051513672	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	1	HH IY R	BOTH_CORRECT	BOTH_CORRECT
68	business	10	69	B IH Z N AH S	6	0.014493	1	0.566409707069397	0.566409707069397	0.433590292930603	0.8336088061332703	0.16449016332626343	1.8663334846496582	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	1	B IH Z N AH S	BOTH_CORRECT	BOTH_CORRECT
69	who	10	70	HH UW	2	0.014286	1	0.5490737557411194	0.5490737557411194	0.4509262442588806	0.7984644770622253	0.1136465072631836	9.568099021911621	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	1	HH UW	BOTH_CORRECT	BOTH_CORRECT
70	web	10	71	W EH B	3	0.014085	1	0.5831645131111145	0.5831645131111145	0.4168354868888855	0.867888867855072	0.1141546368598938	2.664895534515381	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	1	W EH B	BOTH_CORRECT	BOTH_CORRECT
71	also	10	72	AO L S OW	4	0.013889	1	0.5596515536308289	0.5596515536308289	0.44034844636917114	0.8198739290237427	0.1135934591293335	8.33381462097168	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	1	AO L S OW	BOTH_CORRECT	BOTH_CORRECT
72	now	10	73	N AW	2	0.013699	1	0.5655763745307922	0.5655763745307922	0.43442362546920776	0.8319125175476074	0.10533958673477173	18.242279052734375	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	1	N AW	BOTH_CORRECT	BOTH_CORRECT
73	help	10	74	HH EH L P	4	0.013514	1	0.5866748690605164	0.5866748690605164	0.41332513093948364	0.8751181960105896	0.12527179718017578	3.879368543624878	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	1	HH EH L P	BOTH_CORRECT	BOTH_CORRECT
74	get	10	75	G EH T	3	0.013333	1	0.5913065075874329	0.5913065075874329	0.40869349241256714	0.8846845030784607	0.07472670078277588	10.251189231872559	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	1	G EH T	BOTH_CORRECT	BOTH_CORRECT
75	pm	10	76	P IY EH M	4	0.013158	1	0.5622987151145935	0.5622987151145935	0.4377012848854065	0.8252483010292053	0.36172106862068176	0.9762650728225708	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	1	P IY EH M	BOTH_CORRECT	BOTH_CORRECT
76	view	10	77	V Y UW	3	0.012987	1	0.5604850649833679	0.5604850649833679	0.4395149350166321	0.8215654492378235	0.0914989709854126	2.409989833831787	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	1	V Y UW	BOTH_CORRECT	BOTH_CORRECT
77	online	10	78	AO N L AY N	5	0.012821	1	0.5783490538597107	0.5783490538597107	0.4216509461402893	0.857999861240387	0.15641754865646362	1.8464674949645996	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	1	AO N L AY N	BOTH_CORRECT	BOTH_CORRECT
78	c	10	79	S IY	2	0.012658	1	0.5030397772789001	0.5030397772789001	0.49696022272109985	0.7060796022415161	0.09166985750198364	29.33029556274414	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	1	S IY	BOTH_CORRECT	BOTH_CORRECT
79	first	10	80	F ER S T	4	0.0125	1	0.5680286884307861	0.5680286884307861	0.43197131156921387	0.836906373500824	0.053269147872924805	10.37376594543457	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	1	F ER S T	BOTH_CORRECT	BOTH_CORRECT
80	am	10	81	AE M	2	0.012346	1	0.4950222969055176	0.4950222969055176	0.5049777030944824	0.6900442838668823	0.12270236015319824	14.763117790222168	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	1	AE M	BOTH_CORRECT	BOTH_CORRECT
81	been	10	82	B IH N	3	0.012195	1	0.526202917098999	0.526202917098999	0.473797082901001	0.7524538636207581	0.026789724826812744	61.21891784667969	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	1	B IH N	BOTH_CORRECT	BOTH_CORRECT
82	would	10	83	W UH D	3	0.012048	1	0.5496358871459961	0.5496358871459961	0.4503641128540039	0.7995997667312622	0.01689988374710083	56.51080322265625	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	1	W UH D	BOTH_CORRECT	BOTH_CORRECT
83	how	10	84	HH AW	2	0.011905	1	0.5638400316238403	0.5638400316238403	0.43615996837615967	0.8283807635307312	0.0013729333877563477	37.60307312011719	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	1	HH AW	BOTH_CORRECT	BOTH_CORRECT
84	were	10	85	W ER	2	0.011765	1	0.5180809497833252	0.5180809497833252	0.4819190502166748	0.7361776232719421	0.04119741916656494	44.611629486083984	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	1	W ER	BOTH_CORRECT	BOTH_CORRECT
85	me	10	86	M IY	2	0.011628	1	0.5731544494628906	0.5731544494628906	0.4268455505371094	0.847366452217102	0.08247160911560059	7.41011381149292	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	1	M IY	BOTH_CORRECT	BOTH_CORRECT
