seed	epoch	route	item_id	target	prediction	target_length	predicted_length	exact_match	word_error	raw_edit_distance	normalized_edit_distance	substitutions	deletions	insertions	eos_position	source_lexicality	lichtheim_exposure_status	morphology	size	condition	zipf_frequency	frequency_class	gate	lexical_confidence	eos_class
19	155	ltm	wfe_0379	Y UW K AH L EY L IY	Y UW K AH L EY D IY	8	8	0	1	1.0	0.125	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.01	low	0.4128158092498779	0.5238314867019653	EOS_NOT_OBSERVED
19	155	ltm	wfe_0382	Z EH P IH L IH N	S EH P IH D IH N	7	7	0	1	2.0	0.2857	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.29	low	0.4080604016780853	0.5140053033828735	EOS_NOT_OBSERVED
19	155	ltm	wfe_0385	P AO R K Y AH P AY N	P AO R K Y AO N IH SH	9	9	0	1	4.0	0.4444	4	0	0		real	TRAINED_REAL_EXACT	simple	long	RLSL	2.88	low	0.4188265800476074	0.5362038612365723	EOS_NOT_OBSERVED
19	155	ltm	wfe_0390	N AO R D S T R AH M	N AO R D S T R UW P	9	9	0	1	2.0	0.2222	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	2.98	low	0.3333950638771057	0.3535652756690979	EOS_NOT_OBSERVED
19	155	ltm	wfe_0392	V AE N D ER B IH L T	V AE N D ER B AH L IH	9	9	0	1	2.0	0.2222	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.27	low	0.4070598781108856	0.511933445930481	EOS_NOT_OBSERVED
19	155	ltm	wfe_0456	W UH L V Z	W UH L V ER	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCH	4.01	high	0.4534389078617096	0.60660719871521	EOS_NOT_OBSERVED
19	155	ltm	wfe_0527	AH P T	CH EH P	3	3	0	1	3.0	1.0	1	1	1		real	UNTRAINED_REAL	complex	short	RSCL	3.07	low	0.377017617225647	0.4488868415355682	EOS_NOT_OBSERVED
19	155	ltm	wfe_0549	S EY IH NG Z	S EY P IY Z	5	5	0	1	2.0	0.4	2	0	0		real	UNTRAINED_REAL	complex	short	RSCL	3.17	low	0.4976406991481781	0.6952813863754272	EOS_NOT_OBSERVED
19	155	ltm	wfe_0585	AH N ER TH T	AH N OY TH T	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCL	3.19	low	0.4309255480766296	0.5609620213508606	EOS_NOT_OBSERVED
20	130	ltm	wfe_0042	D IH S AH P IH R D	D IH S AH P IH R IY	8	8	0	1	1.0	0.125	1	0	0		real	UNTRAINED_REAL	complex	long	RLCH	4.26	high	0.4034718871116638	0.5044901967048645	EOS_NOT_OBSERVED
20	130	ltm	wfe_0104	JH EH N ER AH S L IY	JH EH N ER AH L IY S	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.29	low	0.5247156023979187	0.7494714856147766	EOS_NOT_OBSERVED
20	130	ltm	wfe_0106	T AH L EH M AH T R IY	T AH L EH M AH T R	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4985058903694153	0.6970117092132568	PREMATURE_EOS
20	130	ltm	wfe_0113	HH AE B AH T AE T S	HH AE B AH T AE S T	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.49	low	0.4878529608249664	0.6757011413574219	EOS_NOT_OBSERVED
20	130	ltm	wfe_0117	S UW P ER F L W AH S	S UW P ER F L AH S	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.414632111787796	0.5275755524635315	PREMATURE_EOS
20	130	ltm	wfe_0118	S UW P ER P AW ER Z	S UW P ER P AW L Z	8	8	0	1	1.0	0.125	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4172939360141754	0.533053994178772	EOS_NOT_OBSERVED
20	130	ltm	wfe_0122	W IH TH HH OW L D	W IH HH OW T D L	7	7	0	1	3.0	0.4286	1	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.4335389733314514	0.5662867426872253	EOS_NOT_OBSERVED
20	130	ltm	wfe_0130	SH AO R T AH JH AH Z	R AO T SH AH N Z	8	7	0	1	5.0	0.625	4	1	0	7.0	real	UNTRAINED_REAL	complex	long	RLCL	3.5	low	0.4876960515975952	0.6753870844841003	PREMATURE_EOS
20	130	ltm	wfe_0134	F EY M AH S L IY	F EY M AH L S	7	6	0	1	2.0	0.2857	1	1	0	6.0	real	UNTRAINED_REAL	complex	long	RLCL	3.49	low	0.5178539156913757	0.7357229590415955	PREMATURE_EOS
20	130	ltm	wfe_0144	T AH P AA G R AH F IY	P AH T AA G AH K R IY	9	9	0	1	5.0	0.5556	5	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.4789331555366516	0.6578413844108582	EOS_NOT_OBSERVED
20	130	ltm	wfe_0148	T AH L EH P AH TH IY	T AH L EH SH AH S IY	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	2.88	low	0.4012962877750397	0.4999665915966034	EOS_NOT_OBSERVED
20	130	ltm	wfe_0153	P AA L IH N IY ZH AH N	P AA L IH ZH IY N AH N	9	9	0	1	2.0	0.2222	2	0	0		real	TRAINED_REAL_EXACT	complex	long	RLCL	2.9	low	0.390050321817398	0.4764496088027954	EOS_NOT_OBSERVED
20	130	ltm	wfe_0154	V IH N D IH K T IH V	V IH N K IH D T IH V	9	9	0	1	2.0	0.2222	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	2.98	low	0.3638569712638855	0.4206686615943908	EOS_NOT_OBSERVED
20	130	ltm	wfe_0162	Y UW N IH S EH K S	Y UW N EH S IH K S	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4071212410926819	0.5120605230331421	EOS_NOT_OBSERVED
20	130	ltm	wfe_0164	V IH R AH L AH N T	V IH L AH R AH N T	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	2.88	low	0.4668304026126861	0.633563220500946	EOS_NOT_OBSERVED
20	130	ltm	wfe_0165	AH P HH IY V AH L	AH P OW M Z AH L	7	7	0	1	3.0	0.4286	3	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.13	low	0.3974875807762146	0.4920276403427124	EOS_NOT_OBSERVED
20	130	ltm	wfe_0172	T R AE M P AH L IY N	T R AE M P L AH N IY	9	9	0	1	3.0	0.3333	1	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4851773083209991	0.6703459024429321	EOS_NOT_OBSERVED
20	130	ltm	wfe_0185	R IY OW P AH N D	R IY OW Z AH N D	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.49	low	0.4590604603290558	0.6179371476173401	EOS_NOT_OBSERVED
20	130	ltm	wfe_0194	S AH S P IH SH AH N Z	S AH P S IH SH AH N Z	9	9	0	1	2.0	0.2222	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.49	low	0.4615116715431213	0.6228708028793335	EOS_NOT_OBSERVED
20	130	ltm	wfe_0258	M Y UW CH AH W AH L	M Y UW CH AH L AH TH	8	8	0	1	2.0	0.25	2	0	0		real	TRAINED_REAL_PRON_VARIANT	simple	long	RLSH	4.26	high	0.501113772392273	0.7022274732589722	EOS_NOT_OBSERVED
20	130	ltm	wfe_0311	T AE B ER N AE K AH L	T AE B AH N AY N AH	9	8	0	1	4.0	0.4444	3	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	3.06	low	0.4449100494384765	0.5893709063529968	PREMATURE_EOS
20	130	ltm	wfe_0317	P L AH S IY B OW	P L AH S IY B IY	7	7	0	1	1.0	0.1429	1	0	0		real	TRAINED_REAL_EXACT	simple	long	RLSL	3.48	low	0.383276492357254	0.4621679186820984	EOS_NOT_OBSERVED
20	130	ltm	wfe_0327	AE B ER K R AA M B IY	AE B ER K R AA B M IY	9	9	0	1	2.0	0.2222	0	1	1		real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.4202515780925751	0.5391295552253723	EOS_NOT_OBSERVED
20	130	ltm	wfe_0341	EH B IH N IY Z ER	AO B IH N Z IY ER	7	7	0	1	3.0	0.4286	1	1	1		real	UNTRAINED_REAL	simple	long	RLSL	2.89	low	0.4070183634757995	0.5118474960327148	EOS_NOT_OBSERVED
20	130	ltm	wfe_0344	R EH P R AH M AE N D	R EH P AH M R AE N D	9	9	0	1	2.0	0.2222	0	1	1		real	TRAINED_REAL_EXACT	simple	long	RLSL	2.9	low	0.4630178809165954	0.625900387763977	EOS_NOT_OBSERVED
20	130	ltm	wfe_0347	Y OW K AH HH AA M AH	M AO R AH K AA M AH	8	8	0	1	4.0	0.5	4	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.05	low	0.3941892087459564	0.4851316213607788	EOS_NOT_OBSERVED
20	130	ltm	wfe_0355	W IH N TH R AH P	W IH N D SH AH N	7	7	0	1	3.0	0.4286	3	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.04	low	0.4331860542297363	0.5655680298805237	EOS_NOT_OBSERVED
20	130	ltm	wfe_0374	T AA R AA N T IY N OW	T AA R AA N T IY OW	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	3.04	low	0.4186689257621765	0.5358799695968628	PREMATURE_EOS
20	130	ltm	wfe_0379	Y UW K AH L EY L IY	Y UW K AH L EY L	8	7	0	1	1.0	0.125	0	1	0	7.0	real	UNTRAINED_REAL	simple	long	RLSL	3.01	low	0.5052198171615601	0.7104400396347046	PREMATURE_EOS
20	130	ltm	wfe_0390	N AO R D S T R AH M	N AO R D R S ZH AH S	9	9	0	1	4.0	0.4444	2	1	1		real	UNTRAINED_REAL	simple	long	RLSL	2.98	low	0.4200743734836578	0.5387659668922424	EOS_NOT_OBSERVED
20	130	ltm	wfe_0392	V AE N D ER B IH L T	V AE N D ER B IH L	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	3.27	low	0.3904707729816437	0.4773330986499786	PREMATURE_EOS
20	130	ltm	wfe_0412	IH N IH NG Z	IH N IH NG	5	4	0	1	1.0	0.2	0	1	0	4.0	real	UNTRAINED_REAL	complex	short	RSCH	4.02	high	0.4845465719699859	0.6690832376480103	PREMATURE_EOS
20	130	ltm	wfe_0485	HH AE P IY ER	HH AE P ER IY	5	5	0	1	2.0	0.4	0	1	1		real	UNTRAINED_REAL	complex	short	RSCH	4.06	high	0.4069361090660095	0.5116770267486572	EOS_NOT_OBSERVED
20	130	ltm	wfe_0509	T AH B L OW	T AH N UH L	5	5	0	1	3.0	0.6	1	1	1		real	UNTRAINED_REAL	complex	short	RSCL	2.92	low	0.498628169298172	0.697256326675415	EOS_NOT_OBSERVED
21	145	ltm	wfe_0106	T AH L EH M AH T R IY	T AH M EH L AH T IY	9	8	0	1	3.0	0.3333	2	1	0	8.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4924990236759186	0.6849969625473022	PREMATURE_EOS
21	145	ltm	wfe_0117	S UW P ER F L W AH S	S IH P W ER F L AH S	9	9	0	1	3.0	0.3333	1	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4278945028781891	0.5547766089439392	EOS_NOT_OBSERVED
21	145	ltm	wfe_0118	S UW P ER P AW ER Z	S UW P ER P AW ER IY	8	8	0	1	1.0	0.125	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4374120235443115	0.5741640329360962	EOS_NOT_OBSERVED
21	145	ltm	wfe_0146	Y EH L OW S T OW N	Y EH L OW S OW N	8	7	0	1	1.0	0.125	0	1	0	7.0	real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.3467272222042084	0.3832717835903168	PREMATURE_EOS
21	145	ltm	wfe_0148	T AH L EH P AH TH IY	T EH AH P L IY AH M	8	8	0	1	6.0	0.75	2	2	2		real	UNTRAINED_REAL	complex	long	RLCL	2.88	low	0.5195126533508301	0.7390451431274414	EOS_NOT_OBSERVED
21	145	ltm	wfe_0162	Y UW N IH S EH K S	Y UW N IH S EH K	8	7	0	1	1.0	0.125	0	1	0	7.0	real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.3848167955875397	0.465423583984375	PREMATURE_EOS
21	145	ltm	wfe_0163	S K AH L P CH ER AH L	S K AH L P SH AH N TH	9	9	0	1	4.0	0.4444	4	0	0		real	TRAINED_REAL_EXACT	complex	long	RLCL	2.9	low	0.3884740173816681	0.4731344580650329	EOS_NOT_OBSERVED
21	145	ltm	wfe_0165	AH P HH IY V AH L	AH P HH IY V ER	7	6	0	1	2.0	0.2857	1	1	0	6.0	real	UNTRAINED_REAL	complex	long	RLCL	3.13	low	0.3711081743240356	0.4362671971321106	PREMATURE_EOS
21	145	ltm	wfe_0181	M AY N D F AH L	M AY N F L AH K	7	7	0	1	3.0	0.4286	3	0	0		real	TRAINED_REAL_EXACT	complex	long	RLCL	3.49	low	0.5335425734519958	0.7671860456466675	EOS_NOT_OBSERVED
21	145	ltm	wfe_0187	S AH B K AH L CH ER	S AH B N AH T	8	6	0	1	4.0	0.5	2	2	0	6.0	real	UNTRAINED_REAL	complex	long	RLCL	2.98	low	0.389740914106369	0.4757992625236511	PREMATURE_EOS
21	145	ltm	wfe_0197	S T EH D F AE S T	S T EH D F AE T S	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4797434508800506	0.6594646573066711	EOS_NOT_OBSERVED
21	145	ltm	wfe_0258	M Y UW CH AH W AH L	M Y UW CH UH R AH N	8	8	0	1	3.0	0.375	3	0	0		real	TRAINED_REAL_PRON_VARIANT	simple	long	RLSH	4.26	high	0.3705611526966095	0.4350949227809906	EOS_NOT_OBSERVED
21	145	ltm	wfe_0311	T AE B ER N AE K AH L	JH AE T ER K AE L AH N	9	9	0	1	5.0	0.5556	5	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.06	low	0.3868386149406433	0.4696897566318512	EOS_NOT_OBSERVED
21	145	ltm	wfe_0327	AE B ER K R AA M B IY	AE B ER K L AA M IY	9	8	0	1	2.0	0.2222	1	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	2.97	low	0.3948447704315185	0.4865037798881531	PREMATURE_EOS
21	145	ltm	wfe_0333	AH M B IH L IH K AH L	AH B M IH L IH K AH L	9	9	0	1	2.0	0.2222	0	1	1		real	UNTRAINED_REAL	simple	long	RLSL	3.02	low	0.4503431618213653	0.6003578901290894	EOS_NOT_OBSERVED
21	145	ltm	wfe_0347	Y OW K AH HH AA M AH	Y OW K AH HH OW M OW	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.05	low	0.3885366022586822	0.4732661545276642	EOS_NOT_OBSERVED
21	145	ltm	wfe_0355	W IH N TH R AH P	P AY N AH TH P R	7	7	0	1	6.0	0.8571	2	2	2		real	UNTRAINED_REAL	simple	long	RLSL	3.04	low	0.4101181626319885	0.5182615518569946	EOS_NOT_OBSERVED
21	145	ltm	wfe_0357	S IY G F R IY D	S IY G W IY L D	7	7	0	1	3.0	0.4286	3	0	0		real	TRAINED_REAL_EXACT	simple	long	RLSL	3.03	low	0.4050061404705047	0.5076755881309509	EOS_NOT_OBSERVED
21	145	ltm	wfe_0363	T R AE V AH S T IY	T R AE V AH S T	8	7	0	1	1.0	0.125	0	1	0	7.0	real	UNTRAINED_REAL	simple	long	RLSL	3.0	low	0.452003002166748	0.6037094593048096	PREMATURE_EOS
21	145	ltm	wfe_0373	T R AH F AE L G ER	T R AH G L EY P ER	8	8	0	1	4.0	0.5	4	0	0		real	UNTRAINED_REAL	simple	long	RLSL	3.02	low	0.4213726818561554	0.5414294600486755	EOS_NOT_OBSERVED
21	145	ltm	wfe_0374	T AA R AA N T IY N OW	T AA R AA N T IY OW	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	3.04	low	0.3520045876502991	0.3948802947998047	PREMATURE_EOS
21	145	ltm	wfe_0390	N AO R D S T R AH M	N AO R D S T R AH L	9	9	0	1	1.0	0.1111	1	0	0		real	UNTRAINED_REAL	simple	long	RLSL	2.98	low	0.3786079883575439	0.4522695541381836	EOS_NOT_OBSERVED
21	145	ltm	wfe_0392	V AE N D ER B IH L T	V AE N D ER B IH L	9	8	0	1	1.0	0.1111	0	1	0	8.0	real	UNTRAINED_REAL	simple	long	RLSL	3.27	low	0.3783445954322815	0.4517096877098083	PREMATURE_EOS
21	145	ltm	wfe_0411	F IH L M D	F IH L M T	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCH	4.06	high	0.4474199712276459	0.5944496989250183	EOS_NOT_OBSERVED
21	145	ltm	wfe_0493	S K R UW D	S K R UW L	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCH	4.0	high	0.4021022915840149	0.5016434192657471	EOS_NOT_OBSERVED
21	145	ltm	wfe_0529	S AO R L IY	S AA R L IY	5	5	0	1	1.0	0.2	1	0	0		real	UNTRAINED_REAL	complex	short	RSCL	3.19	low	0.4843212068080902	0.6686321496963501	EOS_NOT_OBSERVED
21	145	ltm	wfe_0534	G R OW ER Z	G OW R ER Z	5	5	0	1	2.0	0.4	0	1	1		real	UNTRAINED_REAL	complex	short	RSCL	3.5	low	0.4821766912937164	0.664338231086731	EOS_NOT_OBSERVED
22	140	ltm	wfe_0102	S IH R IY AH N Z	S IH R IY AH N S	7	7	0	1	1.0	0.1429	1	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.3772327303886413	0.4493446946144104	EOS_NOT_OBSERVED
22	140	ltm	wfe_0104	JH EH N ER AH S L IY	JH EH N ER AH L S IY	8	8	0	1	2.0	0.25	0	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.29	low	0.5053743720054626	0.710749089717865	EOS_NOT_OBSERVED
22	140	ltm	wfe_0107	W UH M AH N HH UH D	W AW TH AH N HH UH D	8	8	0	1	2.0	0.25	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	2.88	low	0.3732220530509949	0.440790593624115	EOS_NOT_OBSERVED
22	140	ltm	wfe_0117	S UW P ER F L W AH S	S UW P ER W AO R M AH	9	9	0	1	5.0	0.5556	3	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.0	low	0.4176675379276275	0.5338221192359924	EOS_NOT_OBSERVED
22	140	ltm	wfe_0118	S UW P ER P AW ER Z	P OW P S ER W EY T	8	8	0	1	7.0	0.875	5	1	1		real	UNTRAINED_REAL	complex	long	RLCL	3.14	low	0.4432564079761505	0.5860218405723572	EOS_NOT_OBSERVED
22	140	ltm	wfe_0122	W IH TH HH OW L D	S OY K HH OW L	7	6	0	1	4.0	0.5714	3	1	0	6.0	real	UNTRAINED_REAL	complex	long	RLCL	3.28	low	0.3847246468067169	0.4652290046215057	PREMATURE_EOS
22	140	ltm	wfe_0133	AH N IY K W AH L	AH N IY S B AH L	7	7	0	1	2.0	0.2857	2	0	0		real	UNTRAINED_REAL	complex	long	RLCL	3.3	low	0.4825228750705719	0.6650315523147583	EOS_NOT_OBSERVED
