item_id	success_group	n_seeds_exact	n_seeds	target	target_length	morphology	size	mean_lexical_confidence	mean_gate_auxiliary	n_failed_seeds	mean_substitutions_failed_seeds	mean_deletions_failed_seeds	mean_insertions_failed_seeds	mean_raw_edit_distance_failed_seeds	n_premature_eos_failed_seeds	seed19_exact_match	seed19_prediction	seed19_raw_edit_distance	seed19_eos_class	seed20_exact_match	seed20_prediction	seed20_raw_edit_distance	seed20_eos_class	seed21_exact_match	seed21_prediction	seed21_raw_edit_distance	seed21_eos_class	seed22_exact_match	seed22_prediction	seed22_raw_edit_distance	seed22_eos_class
wfe_0811	ALWAYS_SUCCESSFUL	4	4	EH P IH R EH N T AH L	9	simple	long	0.5512591302394867	0.42642898112535477	0					0	1	EH P IH R EH N T AH L	0.0	EOS_NOT_OBSERVED	1	EH P IH R EH N T AH L	0.0	EOS_NOT_OBSERVED	1	EH P IH R EH N T AH L	0.0	EOS_NOT_OBSERVED	1	EH P IH R EH N T AH L	0.0	EOS_NOT_OBSERVED
wfe_0812	MIXED_SUCCESS	1	4	K OW AA L EH N S AY T	9	simple	long	0.49421071261167526	0.3985969051718712	3	1.6666666666666667	1.0	0.6666666666666666	3.3333333333333335	1	0	K OW AA L ER AA N T S	5.0	EOS_NOT_OBSERVED	0	K OW AA L EH N S T ER	2.0	EOS_NOT_OBSERVED	0	K OW AA L IY N EY T	3.0	PREMATURE_EOS	1	K OW AA L EH N S AY T	0.0	EOS_NOT_OBSERVED
wfe_0813	MIXED_SUCCESS	2	4	N OW T AH N S AH S T	9	simple	long	0.5822654590010643	0.44170672446489334	2	0.0	1.0	1.0	2.0	0	0	N OW T AH S N AH S T	2.0	EOS_NOT_OBSERVED	1	N OW T AH N S AH S T	0.0	EOS_NOT_OBSERVED	1	N OW T AH N S AH S T	0.0	EOS_NOT_OBSERVED	0	N OW T AH S N AH S T	2.0	EOS_NOT_OBSERVED
wfe_0814	MIXED_SUCCESS	2	4	IH S L AA T ER D AY N	9	simple	long	0.5114654749631882	0.4068627879023552	2	2.5	0.5	0.0	3.0	1	0	IH S L AY T ER AA N	3.0	PREMATURE_EOS	1	IH S L AA T ER D AY N	0.0	EOS_NOT_OBSERVED	1	IH S L AA T ER D AY N	0.0	EOS_NOT_OBSERVED	0	IH S L AA T ER L IY Z	3.0	EOS_NOT_OBSERVED
wfe_0815	MIXED_SUCCESS	1	4	Y EH S P IH R EH S T	9	simple	long	0.5523802414536476	0.4273037612438202	3	2.0	1.0	0.6666666666666666	3.6666666666666665	1	0	Y EH S P EH R IH CH T	3.0	EOS_NOT_OBSERVED	0	Y EH S IH P S EH R IY	5.0	EOS_NOT_OBSERVED	0	Y EH S P IH S T R	3.0	PREMATURE_EOS	1	Y EH S P IH R EH S T	0.0	EOS_NOT_OBSERVED
wfe_0816	MIXED_SUCCESS	2	4	F OW L D AA M AH N S	9	simple	long	0.5245106220245361	0.4131706655025482	2	1.0	0.5	0.5	2.0	0	0	F OW L D AA M N AH S	2.0	EOS_NOT_OBSERVED	1	F OW L D AA M AH N S	0.0	EOS_NOT_OBSERVED	0	F AA L D OW M AH N S	2.0	EOS_NOT_OBSERVED	1	F OW L D AA M AH N S	0.0	EOS_NOT_OBSERVED
wfe_0817	MIXED_SUCCESS	1	4	B AA V EH N T IY N AH	9	simple	long	0.45696550607681274	0.3808220699429512	3	0.3333333333333333	1.0	1.0	2.3333333333333335	0	1	B AA V EH N T IY N AH	0.0	EOS_NOT_OBSERVED	0	B AA V IH N T IY AH N	3.0	EOS_NOT_OBSERVED	0	B AA V EH N T IY AH N	2.0	EOS_NOT_OBSERVED	0	B AA V EH N T IY AH N	2.0	EOS_NOT_OBSERVED
wfe_0818	ALWAYS_SUCCESSFUL	4	4	F R AE N S AH P AH L	9	simple	long	0.5310518890619278	0.4165227934718132	0					0	1	F R AE N S AH P AH L	0.0	EOS_NOT_OBSERVED	1	F R AE N S AH P AH L	0.0	EOS_NOT_OBSERVED	1	F R AE N S AH P AH L	0.0	EOS_NOT_OBSERVED	1	F R AE N S AH P AH L	0.0	EOS_NOT_OBSERVED
wfe_0819	MIXED_SUCCESS	3	4	V IH S T ER M AE N D	9	simple	long	0.49602416902780533	0.3996938243508339	1	1.0	0.0	0.0	1.0	0	1	V IH S T ER M AE N D	0.0	EOS_NOT_OBSERVED	1	V IH S T ER M AE N D	0.0	EOS_NOT_OBSERVED	0	V IH S T ER M IH N D	1.0	EOS_NOT_OBSERVED	1	V IH S T ER M AE N D	0.0	EOS_NOT_OBSERVED
wfe_0820	ALWAYS_SUCCESSFUL	4	4	M AH S IH P IH T AH L	9	simple	long	0.5387679114937782	0.4206010028719902	0					0	1	M AH S IH P IH T AH L	0.0	EOS_NOT_OBSERVED	1	M AH S IH P IH T AH L	0.0	EOS_NOT_OBSERVED	1	M AH S IH P IH T AH L	0.0	EOS_NOT_OBSERVED	1	M AH S IH P IH T AH L	0.0	EOS_NOT_OBSERVED
wfe_0821	MIXED_SUCCESS	1	4	AE N K L UW S EH N T	9	simple	long	0.4570669084787368	0.3810726851224899	3	1.6666666666666667	0.6666666666666666	0.0	2.3333333333333335	2	0	AE N K L UW S EH V D	2.0	EOS_NOT_OBSERVED	0	AE N K L UW EH N S	2.0	PREMATURE_EOS	0	AE N K L EH S UW T	3.0	PREMATURE_EOS	1	AE N K L UW S EH N T	0.0	EOS_NOT_OBSERVED
wfe_0822	ALWAYS_SUCCESSFUL	4	4	S K W IH S T AH N T	9	simple	long	0.549939751625061	0.4261416643857956	0					0	1	S K W IH S T AH N T	0.0	EOS_NOT_OBSERVED	1	S K W IH S T AH N T	0.0	EOS_NOT_OBSERVED	1	S K W IH S T AH N T	0.0	EOS_NOT_OBSERVED	1	S K W IH S T AH N T	0.0	EOS_NOT_OBSERVED
wfe_0823	ALWAYS_FAILED	0	4	EH V ER R IY AH L IH S	9	simple	long	0.5725848972797394	0.43671151995658875	4	1.5	1.25	0.25	3.0	4	0	EH V ER R IY AH L S	1.0	PREMATURE_EOS	0	EH V ER L AH S IY Z	5.0	PREMATURE_EOS	0	EH V ER R IY AH L S	1.0	PREMATURE_EOS	0	EH V R ER IY S IH L	5.0	PREMATURE_EOS
wfe_0824	MIXED_SUCCESS	2	4	AE L R EH L AA P AH L	9	simple	long	0.5392979010939598	0.42070775479078293	2	0.5	1.5	0.5	2.5	1	0	AE L R EH L AH M	3.0	PREMATURE_EOS	1	AE L R EH L AA P AH L	0.0	EOS_NOT_OBSERVED	1	AE L R EH L AA P AH L	0.0	EOS_NOT_OBSERVED	0	AE L R EH L AA P L AH	2.0	EOS_NOT_OBSERVED
wfe_0825	MIXED_SUCCESS	2	4	S T AO R S T AH N T	9	simple	long	0.6281293779611588	0.4642895311117172	2	1.0	1.0	0.0	2.0	2	1	S T AO R S T AH N T	0.0	EOS_NOT_OBSERVED	0	S T AO R T AH K T	2.0	PREMATURE_EOS	1	S T AO R S T AH N T	0.0	EOS_NOT_OBSERVED	0	S T AO R S T AH L	2.0	PREMATURE_EOS
wfe_0826	MIXED_SUCCESS	2	4	T R IH N K AH B EH L	9	simple	long	0.554699219763279	0.42856988310813904	2	1.5	0.5	0.5	2.5	0	0	T R IH N AH K B AH L	3.0	EOS_NOT_OBSERVED	1	T R IH N K AH B EH L	0.0	EOS_NOT_OBSERVED	0	T R IH N K AE B AH L	2.0	EOS_NOT_OBSERVED	1	T R IH N K AH B EH L	0.0	EOS_NOT_OBSERVED
wfe_0827	MIXED_SUCCESS	3	4	AE D V AE N T IH N T	9	simple	long	0.5147674530744553	0.40855973958969116	1	2.0	0.0	0.0	2.0	0	1	AE D V AE N T IH N T	0.0	EOS_NOT_OBSERVED	1	AE D V AE N T IH N T	0.0	EOS_NOT_OBSERVED	1	AE D V AE N T IH N T	0.0	EOS_NOT_OBSERVED	0	AE D V AE N T IH K S	2.0	EOS_NOT_OBSERVED
wfe_0828	MIXED_SUCCESS	1	4	HH OW N OW F AH S IY N	9	simple	long	0.5425005704164505	0.4219040647149086	3	1.0	1.3333333333333333	1.0	3.3333333333333335	1	0	HH OW M OW N AH S IY	3.0	PREMATURE_EOS	0	HH OW N OW F AH N S IY	2.0	EOS_NOT_OBSERVED	0	HH OW N AH F IY N AH S	5.0	EOS_NOT_OBSERVED	1	HH OW N OW F AH S IY N	0.0	EOS_NOT_OBSERVED
wfe_0829	ALWAYS_FAILED	0	4	R IY AH S OW D AH K T	9	simple	long	0.4687480702996254	0.38649577647447586	4	1.0	0.5	0.0	1.5	2	0	R IY AH S OW D IH T	2.0	PREMATURE_EOS	0	R IY AH S OW S AH K T	1.0	EOS_NOT_OBSERVED	0	R IY AH S OW D AH T	1.0	PREMATURE_EOS	0	R IY AH S OW T AH K IY	2.0	EOS_NOT_OBSERVED
wfe_0830	ALWAYS_FAILED	0	4	S T OW G R IH CH ER IY	9	simple	long	0.5543180331587791	0.42831363528966904	4	2.75	0.75	0.0	3.5	2	0	S T OW G R IY EY	4.0	PREMATURE_EOS	0	S T OW G R IH D ER IY	1.0	EOS_NOT_OBSERVED	0	S T EH G N AH T IY	5.0	PREMATURE_EOS	0	S T OW G R AH S T UH	4.0	EOS_NOT_OBSERVED
wfe_0831	ALWAYS_FAILED	0	4	S IY G R UW S AH CH IY	9	simple	long	0.510006345808506	0.4061978608369827	4	1.5	1.25	1.25	4.0	0	0	S IY G R UW Z IY AH S	4.0	EOS_NOT_OBSERVED	0	S IY G R AH D UW S IY	4.0	EOS_NOT_OBSERVED	0	S IY K Y AO R IY AH S	7.0	EOS_NOT_OBSERVED	0	S IY G R UW S AH V IY	1.0	EOS_NOT_OBSERVED
wfe_0832	ALWAYS_SUCCESSFUL	4	4	W IH S K AH N S AH Z	9	simple	long	0.6327721327543259	0.4665105491876602	0					0	1	W IH S K AH N S AH Z	0.0	EOS_NOT_OBSERVED	1	W IH S K AH N S AH Z	0.0	EOS_NOT_OBSERVED	1	W IH S K AH N S AH Z	0.0	EOS_NOT_OBSERVED	1	W IH S K AH N S AH Z	0.0	EOS_NOT_OBSERVED
wfe_0833	ALWAYS_SUCCESSFUL	4	4	IH N AW	3	complex	short	0.717456579208374	0.5086965635418892	0					0	1	IH N AW	0.0	EOS_NOT_OBSERVED	1	IH N AW	0.0	EOS_NOT_OBSERVED	1	IH N AW	0.0	EOS_NOT_OBSERVED	1	IH N AW	0.0	EOS_NOT_OBSERVED
wfe_0834	MIXED_SUCCESS	2	4	AO TH T	3	complex	short	0.5691573470830917	0.43531495332717896	2	0.5	0.5	0.0	1.0	1	0	AO M T	1.0	EOS_NOT_OBSERVED	1	AO TH T	0.0	EOS_NOT_OBSERVED	0	AO TH	1.0	PREMATURE_EOS	1	AO TH T	0.0	EOS_NOT_OBSERVED
wfe_0835	ALWAYS_SUCCESSFUL	4	4	AH K UW	3	complex	short	0.5106082558631897	0.4065399840474129	0					0	1	AH K UW	0.0	EOS_NOT_OBSERVED	1	AH K UW	0.0	EOS_NOT_OBSERVED	1	AH K UW	0.0	EOS_NOT_OBSERVED	1	AH K UW	0.0	EOS_NOT_OBSERVED
wfe_0836	ALWAYS_SUCCESSFUL	4	4	AY T ER	3	complex	short	0.4765457734465599	0.39018571376800537	0					0	1	AY T ER	0.0	EOS_NOT_OBSERVED	1	AY T ER	0.0	EOS_NOT_OBSERVED	1	AY T ER	0.0	EOS_NOT_OBSERVED	1	AY T ER	0.0	EOS_NOT_OBSERVED
wfe_0837	ALWAYS_SUCCESSFUL	4	4	N OW IY	3	complex	short	0.489962562918663	0.3966259658336639	0					0	1	N OW IY	0.0	EOS_NOT_OBSERVED	1	N OW IY	0.0	EOS_NOT_OBSERVED	1	N OW IY	0.0	EOS_NOT_OBSERVED	1	N OW IY	0.0	EOS_NOT_OBSERVED
wfe_0838	MIXED_SUCCESS	3	4	TH IH CH	3	complex	short	0.6497584581375122	0.47502006590366364	1	1.0	0.0	0.0	1.0	0	1	TH IH CH	0.0	EOS_NOT_OBSERVED	0	TH IH NG	1.0	EOS_NOT_OBSERVED	1	TH IH CH	0.0	EOS_NOT_OBSERVED	1	TH IH CH	0.0	EOS_NOT_OBSERVED
wfe_0840	ALWAYS_SUCCESSFUL	4	4	W IY Z	3	complex	short	0.8294442147016525	0.5643268972635269	0					0	1	W IY Z	0.0	EOS_NOT_OBSERVED	1	W IY Z	0.0	EOS_NOT_OBSERVED	1	W IY Z	0.0	EOS_NOT_OBSERVED	1	W IY Z	0.0	EOS_NOT_OBSERVED
wfe_0841	ALWAYS_SUCCESSFUL	4	4	EH M D	3	complex	short	0.5416320860385895	0.4216631203889847	0					0	1	EH M D	0.0	EOS_NOT_OBSERVED	1	EH M D	0.0	EOS_NOT_OBSERVED	1	EH M D	0.0	EOS_NOT_OBSERVED	1	EH M D	0.0	EOS_NOT_OBSERVED
wfe_0843	ALWAYS_SUCCESSFUL	4	4	IH P ER	3	complex	short	0.4800811782479286	0.39183756709098816	0					0	1	IH P ER	0.0	EOS_NOT_OBSERVED	1	IH P ER	0.0	EOS_NOT_OBSERVED	1	IH P ER	0.0	EOS_NOT_OBSERVED	1	IH P ER	0.0	EOS_NOT_OBSERVED
wfe_0844	ALWAYS_SUCCESSFUL	4	4	S AO R	3	complex	short	0.7487637996673584	0.5242784321308136	0					0	1	S AO R	0.0	EOS_NOT_OBSERVED	1	S AO R	0.0	EOS_NOT_OBSERVED	1	S AO R	0.0	EOS_NOT_OBSERVED	1	S AO R	0.0	EOS_NOT_OBSERVED
wfe_0845	ALWAYS_SUCCESSFUL	4	4	IY L ER	3	complex	short	0.4701763316988945	0.38774178922176356	0					0	1	IY L ER	0.0	EOS_NOT_OBSERVED	1	IY L ER	0.0	EOS_NOT_OBSERVED	1	IY L ER	0.0	EOS_NOT_OBSERVED	1	IY L ER	0.0	EOS_NOT_OBSERVED
wfe_0846	ALWAYS_SUCCESSFUL	4	4	AA D IY	3	complex	short	0.7043500393629074	0.502291776239872	0					0	1	AA D IY	0.0	EOS_NOT_OBSERVED	1	AA D IY	0.0	EOS_NOT_OBSERVED	1	AA D IY	0.0	EOS_NOT_OBSERVED	1	AA D IY	0.0	EOS_NOT_OBSERVED
wfe_0847	MIXED_SUCCESS	3	4	AH P AY	3	complex	short	0.5092305392026901	0.40586475282907486	1	1.0	0.0	0.0	1.0	0	0	AH P AO	1.0	EOS_NOT_OBSERVED	1	AH P AY	0.0	EOS_NOT_OBSERVED	1	AH P AY	0.0	EOS_NOT_OBSERVED	1	AH P AY	0.0	EOS_NOT_OBSERVED
wfe_0848	ALWAYS_SUCCESSFUL	4	4	G UW Z	3	complex	short	0.5275993943214417	0.4146959185600281	0					0	1	G UW Z	0.0	EOS_NOT_OBSERVED	1	G UW Z	0.0	EOS_NOT_OBSERVED	1	G UW Z	0.0	EOS_NOT_OBSERVED	1	G UW Z	0.0	EOS_NOT_OBSERVED
wfe_0849	ALWAYS_SUCCESSFUL	4	4	D IY Z	3	complex	short	0.7548439502716064	0.5273774862289429	0					0	1	D IY Z	0.0	EOS_NOT_OBSERVED	1	D IY Z	0.0	EOS_NOT_OBSERVED	1	D IY Z	0.0	EOS_NOT_OBSERVED	1	D IY Z	0.0	EOS_NOT_OBSERVED
wfe_0850	MIXED_SUCCESS	3	4	AH N TH	3	complex	short	0.6755645871162415	0.48787543922662735	1	0.0	1.0	1.0	2.0	0	1	AH N TH	0.0	EOS_NOT_OBSERVED	1	AH N TH	0.0	EOS_NOT_OBSERVED	0	AH TH N	2.0	EOS_NOT_OBSERVED	1	AH N TH	0.0	EOS_NOT_OBSERVED
wfe_0851	MIXED_SUCCESS	2	4	T OW IY	3	complex	short	0.5276367738842964	0.4150196239352226	2	1.0	0.0	0.0	1.0	0	0	T OW IH	1.0	EOS_NOT_OBSERVED	1	T OW IY	0.0	EOS_NOT_OBSERVED	0	T OW IH	1.0	EOS_NOT_OBSERVED	1	T OW IY	0.0	EOS_NOT_OBSERVED
wfe_0852	ALWAYS_SUCCESSFUL	4	4	IY M Z	3	complex	short	0.6607502996921539	0.4806092232465744	0					0	1	IY M Z	0.0	EOS_NOT_OBSERVED	1	IY M Z	0.0	EOS_NOT_OBSERVED	1	IY M Z	0.0	EOS_NOT_OBSERVED	1	IY M Z	0.0	EOS_NOT_OBSERVED
wfe_0853	MIXED_SUCCESS	3	4	ER T S	3	complex	short	0.5753806605935097	0.4390830844640732	1	0.0	1.0	1.0	2.0	0	1	ER T S	0.0	EOS_NOT_OBSERVED	1	ER T S	0.0	EOS_NOT_OBSERVED	1	ER T S	0.0	EOS_NOT_OBSERVED	0	R ER T	2.0	EOS_NOT_OBSERVED
wfe_0854	ALWAYS_SUCCESSFUL	4	4	AE T R OW	4	complex	short	0.5302306115627289	0.4167972356081009	0					0	1	AE T R OW	0.0	EOS_NOT_OBSERVED	1	AE T R OW	0.0	EOS_NOT_OBSERVED	1	AE T R OW	0.0	EOS_NOT_OBSERVED	1	AE T R OW	0.0	EOS_NOT_OBSERVED
wfe_0855	ALWAYS_SUCCESSFUL	4	4	AH P R UW	4	complex	short	0.5651703774929047	0.433299608528614	0					0	1	AH P R UW	0.0	EOS_NOT_OBSERVED	1	AH P R UW	0.0	EOS_NOT_OBSERVED	1	AH P R UW	0.0	EOS_NOT_OBSERVED	1	AH P R UW	0.0	EOS_NOT_OBSERVED
wfe_0856	ALWAYS_SUCCESSFUL	4	4	R AA N T	4	complex	short	0.6547728478908539	0.4774315655231476	0					0	1	R AA N T	0.0	EOS_NOT_OBSERVED	1	R AA N T	0.0	EOS_NOT_OBSERVED	1	R AA N T	0.0	EOS_NOT_OBSERVED	1	R AA N T	0.0	EOS_NOT_OBSERVED
wfe_0857	ALWAYS_SUCCESSFUL	4	4	AE S AH K	4	complex	short	0.5043351277709007	0.40340299904346466	0					0	1	AE S AH K	0.0	EOS_NOT_OBSERVED	1	AE S AH K	0.0	EOS_NOT_OBSERVED	1	AE S AH K	0.0	EOS_NOT_OBSERVED	1	AE S AH K	0.0	EOS_NOT_OBSERVED
wfe_0858	ALWAYS_SUCCESSFUL	4	4	AA B S OW	4	complex	short	0.4634902998805046	0.3840244337916374	0					0	1	AA B S OW	0.0	EOS_NOT_OBSERVED	1	AA B S OW	0.0	EOS_NOT_OBSERVED	1	AA B S OW	0.0	EOS_NOT_OBSERVED	1	AA B S OW	0.0	EOS_NOT_OBSERVED
wfe_0859	MIXED_SUCCESS	3	4	AA P T IY	4	complex	short	0.542594775557518	0.4229594096541405	1	1.0	0.0	0.0	1.0	0	0	AA P T AH	1.0	EOS_NOT_OBSERVED	1	AA P T IY	0.0	EOS_NOT_OBSERVED	1	AA P T IY	0.0	EOS_NOT_OBSERVED	1	AA P T IY	0.0	EOS_NOT_OBSERVED
wfe_0860	ALWAYS_SUCCESSFUL	4	4	AW R EY N	4	complex	short	0.4507128521800041	0.3781823217868805	0					0	1	AW R EY N	0.0	EOS_NOT_OBSERVED	1	AW R EY N	0.0	EOS_NOT_OBSERVED	1	AW R EY N	0.0	EOS_NOT_OBSERVED	1	AW R EY N	0.0	EOS_NOT_OBSERVED
wfe_0861	ALWAYS_SUCCESSFUL	4	4	TH AW T IY	4	complex	short	0.5776152089238167	0.43974996358156204	0					0	1	TH AW T IY	0.0	EOS_NOT_OBSERVED	1	TH AW T IY	0.0	EOS_NOT_OBSERVED	1	TH AW T IY	0.0	EOS_NOT_OBSERVED	1	TH AW T IY	0.0	EOS_NOT_OBSERVED
wfe_0862	ALWAYS_SUCCESSFUL	4	4	JH AO R OW	4	complex	short	0.43314414471387863	0.3700011968612671	0					0	1	JH AO R OW	0.0	EOS_NOT_OBSERVED	1	JH AO R OW	0.0	EOS_NOT_OBSERVED	1	JH AO R OW	0.0	EOS_NOT_OBSERVED	1	JH AO R OW	0.0	EOS_NOT_OBSERVED
wfe_0863	ALWAYS_SUCCESSFUL	4	4	T EH M AW	4	complex	short	0.5319655612111092	0.41759467124938965	0					0	1	T EH M AW	0.0	EOS_NOT_OBSERVED	1	T EH M AW	0.0	EOS_NOT_OBSERVED	1	T EH M AW	0.0	EOS_NOT_OBSERVED	1	T EH M AW	0.0	EOS_NOT_OBSERVED
wfe_0864	ALWAYS_SUCCESSFUL	4	4	EH N F ER	4	complex	short	0.548246905207634	0.4252019375562668	0					0	1	EH N F ER	0.0	EOS_NOT_OBSERVED	1	EH N F ER	0.0	EOS_NOT_OBSERVED	1	EH N F ER	0.0	EOS_NOT_OBSERVED	1	EH N F ER	0.0	EOS_NOT_OBSERVED
wfe_0865	ALWAYS_SUCCESSFUL	4	4	AH K OW N	4	complex	short	0.5556992813944817	0.4291035532951355	0					0	1	AH K OW N	0.0	EOS_NOT_OBSERVED	1	AH K OW N	0.0	EOS_NOT_OBSERVED	1	AH K OW N	0.0	EOS_NOT_OBSERVED	1	AH K OW N	0.0	EOS_NOT_OBSERVED
wfe_0866	ALWAYS_SUCCESSFUL	4	4	W IY F ER	4	complex	short	0.573412150144577	0.4377070292830467	0					0	1	W IY F ER	0.0	EOS_NOT_OBSERVED	1	W IY F ER	0.0	EOS_NOT_OBSERVED	1	W IY F ER	0.0	EOS_NOT_OBSERVED	1	W IY F ER	0.0	EOS_NOT_OBSERVED
wfe_0867	ALWAYS_SUCCESSFUL	4	4	AH N EH S	4	complex	short	0.6290975511074066	0.46504152566194534	0					0	1	AH N EH S	0.0	EOS_NOT_OBSERVED	1	AH N EH S	0.0	EOS_NOT_OBSERVED	1	AH N EH S	0.0	EOS_NOT_OBSERVED	1	AH N EH S	0.0	EOS_NOT_OBSERVED
wfe_0868	MIXED_SUCCESS	3	4	EH N IY TH	4	complex	short	0.7492767572402954	0.5244429484009743	1	0.0	1.0	1.0	2.0	0	1	EH N IY TH	0.0	EOS_NOT_OBSERVED	1	EH N IY TH	0.0	EOS_NOT_OBSERVED	0	EH N TH IY	2.0	EOS_NOT_OBSERVED	1	EH N IY TH	0.0	EOS_NOT_OBSERVED
wfe_0869	ALWAYS_SUCCESSFUL	4	4	IH L UW M	4	complex	short	0.4619363695383072	0.3833075761795044	0					0	1	IH L UW M	0.0	EOS_NOT_OBSERVED	1	IH L UW M	0.0	EOS_NOT_OBSERVED	1	IH L UW M	0.0	EOS_NOT_OBSERVED	1	IH L UW M	0.0	EOS_NOT_OBSERVED
