model	seed	term	coefficient	reference_levels	signed	note
clean_interactions	20	route_ltm:morphology_simple	0.009014002969575862	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	(intercept)	0.06347498864632492	route=wm; lexicality=pseudo; morphology=complex	True	model intercept
clean_interactions	21	length_z	0.138062283266317	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	lexicality_real	-0.05658223378624772	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	lexicality_real:length_z	-0.1802395124635139	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	morphology_simple	-0.01801849498367885	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	morphology_simple:length_z	0.0030781411156487813	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_full	-0.04323783574706888	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_full:length_z	-0.02027597805967975	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_full:lexicality_real	0.040752055165220166	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_full:morphology_simple	0.0032930419355975526	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_ltm	0.45644835207916906	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_ltm:length_z	0.1602393813299765	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_ltm:lexicality_real	-0.472424453463898	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	21	route_ltm:morphology_simple	0.07437620521846193	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	(intercept)	0.017107601190114896	route=wm; lexicality=pseudo; morphology=complex	True	model intercept
clean_interactions	22	length_z	0.10604383198478846	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	lexicality_real	-0.010309381723054937	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	lexicality_real:length_z	-0.1546301225061783	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	morphology_simple	-0.02340917625943014	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	morphology_simple:length_z	-0.015781417540389826	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_full	-0.016562753572048648	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_full:length_z	-0.0023996569940308307	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_full:lexicality_real	0.009402940982000882	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_full:morphology_simple	0.014394972495003825	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_ltm	0.5123742508207796	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_ltm:length_z	0.1722363998343257	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_ltm:lexicality_real	-0.5133919101563057	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
clean_interactions	22	route_ltm:morphology_simple	0.03552781716086891	route=wm; lexicality=pseudo; morphology=complex	True	coefficients are signed; grouped permutation importance is unsigned and lives in a separate table
