,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Vowel Count,Consonant Count
13,languages,RLCH,real,long,complex,2.63e-05,9,4.42,"['L', 'AE1', 'NG', 'G', 'W', 'AH0', 'JH', 'AH0', 'Z']","['L', 'AE', 'NG', 'G', 'W', 'AH', 'JH', 'AH', 'Z']",NOUN,3,6
14,impressed,RLCH,real,long,complex,2.19e-05,7,4.34,"['IH0', 'M', 'P', 'R', 'EH1', 'S', 'T']","['IH', 'M', 'P', 'R', 'EH', 'S', 'T']",VERB,2,5
15,increasing,RLCH,real,long,complex,4.79e-05,8,4.68,"['IH0', 'N', 'K', 'R', 'IY1', 'S', 'IH0', 'NG']","['IH', 'N', 'K', 'R', 'IY', 'S', 'IH', 'NG']",VERB,3,5
16,creation,RLCH,real,long,complex,3.63e-05,7,4.56,"['K', 'R', 'IY0', 'EY1', 'SH', 'AH0', 'N']","['K', 'R', 'IY', 'EY', 'SH', 'AH', 'N']",NOUN,3,4
17,framework,RLCH,real,long,complex,1.95e-05,7,4.29,"['F', 'R', 'EY1', 'M', 'W', 'ER2', 'K']","['F', 'R', 'EY', 'M', 'W', 'ER', 'K']",NOUN,2,5
18,different,RLCH,real,long,complex,0.000389,7,5.59,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",ADJ,3,4
19,connections,RLCH,real,long,complex,2.09e-05,9,4.32,"['K', 'AH0', 'N', 'EH1', 'K', 'SH', 'AH0', 'N', 'Z']","['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",NOUN,3,6
20,discussed,RLCH,real,long,complex,2.82e-05,7,4.45,"['D', 'IH0', 'S', 'K', 'AH1', 'S', 'T']","['D', 'IH', 'S', 'K', 'AH', 'S', 'T']",VERB,2,5
21,relation,RLCH,real,long,complex,2.04e-05,7,4.31,"['R', 'IY0', 'L', 'EY1', 'SH', 'AH0', 'N']","['R', 'IY', 'L', 'EY', 'SH', 'AH', 'N']",NOUN,3,4
22,graduate,RLCH,real,long,complex,3.16e-05,8,4.5,"['G', 'R', 'AE1', 'JH', 'AH0', 'W', 'AH0', 'T']","['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T']",NOUN,3,5
23,nevertheless,RLCH,real,long,complex,1.78e-05,9,4.25,"['N', 'EH2', 'V', 'ER0', 'DH', 'AH0', 'L', 'EH1', 'S']","['N', 'EH', 'V', 'ER', 'DH', 'AH', 'L', 'EH', 'S']",ADV,4,5
24,discipline,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'IH1', 'S', 'AH0', 'P', 'L', 'AH0', 'N']","['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']",VERB,3,5
25,customer,RLCH,real,long,complex,4.07e-05,7,4.61,"['K', 'AH1', 'S', 'T', 'AH0', 'M', 'ER0']","['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']",NOUN,3,4
26,classical,RLCH,real,long,complex,1.82e-05,8,4.26,"['K', 'L', 'AE1', 'S', 'IH0', 'K', 'AH0', 'L']","['K', 'L', 'AE', 'S', 'IH', 'K', 'AH', 'L']",ADJ,3,5
27,progress,RLCH,real,long,complex,6.03e-05,7,4.78,"['P', 'R', 'AA1', 'G', 'R', 'EH2', 'S']","['P', 'R', 'AA', 'G', 'R', 'EH', 'S']",VERB,2,5
28,engineers,RLCH,real,long,complex,2.57e-05,8,4.41,"['EH1', 'N', 'JH', 'AH0', 'N', 'IH1', 'R', 'Z']","['EH', 'N', 'JH', 'AH', 'N', 'IH', 'R', 'Z']",NOUN,3,5
29,equipment,RLCH,real,long,complex,7.59e-05,9,4.88,"['IH0', 'K', 'W', 'IH1', 'P', 'M', 'AH0', 'N', 'T']","['IH', 'K', 'W', 'IH', 'P', 'M', 'AH', 'N', 'T']",NOUN,3,6
30,existing,RLCH,real,long,complex,5.62e-05,8,4.75,"['IH0', 'G', 'Z', 'IH1', 'S', 'T', 'IH0', 'NG']","['IH', 'G', 'Z', 'IH', 'S', 'T', 'IH', 'NG']",VERB,3,5
31,technology,RLCH,real,long,complex,0.000123,9,5.09,"['T', 'EH0', 'K', 'N', 'AA1', 'L', 'AH0', 'JH', 'IY0']","['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",NOUN,4,5
32,continued,RLCH,real,long,complex,9.12e-05,9,4.96,"['K', 'AH0', 'N', 'T', 'IH1', 'N', 'Y', 'UW0', 'D']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']",VERB,3,6
33,racism,RLCH,real,long,complex,1.78e-05,7,4.25,"['R', 'EY1', 'S', 'IH2', 'Z', 'AH0', 'M']","['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']",NOUN,3,4
34,analysis,RLCH,real,long,complex,8.13e-05,8,4.91,"['AH0', 'N', 'AE1', 'L', 'AH0', 'S', 'AH0', 'S']","['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']",NOUN,4,4
35,potentially,RLCH,real,long,complex,2.45e-05,9,4.39,"['P', 'AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L', 'IY0']","['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",ADV,4,5
36,developer,RLCH,real,long,complex,1.58e-05,8,4.2,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'ER0']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER']",NOUN,4,4
37,composed,RLCH,real,long,complex,1.86e-05,7,4.27,"['K', 'AH0', 'M', 'P', 'OW1', 'Z', 'D']","['K', 'AH', 'M', 'P', 'OW', 'Z', 'D']",VERB,2,5
38,disabled,RLCH,real,long,complex,1.95e-05,8,4.29,"['D', 'IH0', 'S', 'EY1', 'B', 'AH0', 'L', 'D']","['D', 'IH', 'S', 'EY', 'B', 'AH', 'L', 'D']",ADJ,3,5
39,punishment,RLCH,real,long,complex,2.19e-05,9,4.34,"['P', 'AH1', 'N', 'IH0', 'SH', 'M', 'AH0', 'N', 'T']","['P', 'AH', 'N', 'IH', 'SH', 'M', 'AH', 'N', 'T']",NOUN,3,6
40,exposed,RLCH,real,long,complex,3.24e-05,7,4.51,"['IH0', 'K', 'S', 'P', 'OW1', 'Z', 'D']","['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']",VERB,2,5
41,essentially,RLCH,real,long,complex,2.63e-05,8,4.42,"['IH0', 'S', 'EH1', 'N', 'SH', 'AH0', 'L', 'IY0']","['IH', 'S', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",ADV,4,4
42,disappeared,RLCH,real,long,complex,1.82e-05,8,4.26,"['D', 'IH2', 'S', 'AH0', 'P', 'IH1', 'R', 'D']","['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']",VERB,3,5
43,themselves,RLCH,real,long,complex,0.000145,8,5.16,"['DH', 'EH0', 'M', 'S', 'EH1', 'L', 'V', 'Z']","['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",PRON,2,6
44,neighborhood,RLCH,real,long,complex,3.16e-05,7,4.5,"['N', 'EY1', 'B', 'ER0', 'HH', 'UH2', 'D']","['N', 'EY', 'B', 'ER', 'HH', 'UH', 'D']",NOUN,3,4
45,familiar,RLCH,real,long,complex,4.07e-05,7,4.61,"['F', 'AH0', 'M', 'IH1', 'L', 'Y', 'ER0']","['F', 'AH', 'M', 'IH', 'L', 'Y', 'ER']",ADJ,3,4
46,queensland,RLCH,real,long,complex,1.7e-05,9,4.23,"['K', 'W', 'IY1', 'N', 'Z', 'L', 'AE2', 'N', 'D']","['K', 'W', 'IY', 'N', 'Z', 'L', 'AE', 'N', 'D']",PROPN,2,7
47,secrets,RLCH,real,long,complex,2.04e-05,7,4.31,"['S', 'IY1', 'K', 'R', 'AH0', 'T', 'S']","['S', 'IY', 'K', 'R', 'AH', 'T', 'S']",NOUN,2,5
48,cambridge,RLCH,real,long,complex,2.45e-05,7,4.39,"['K', 'EY1', 'M', 'B', 'R', 'IH0', 'JH']","['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']",PROPN,2,5
49,estimated,RLCH,real,long,complex,4.17e-05,9,4.62,"['EH1', 'S', 'T', 'AH0', 'M', 'EY2', 'T', 'AH0', 'D']","['EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'AH', 'D']",VERB,4,5
50,depression,RLCH,real,long,complex,3.63e-05,8,4.56,"['D', 'IH0', 'P', 'R', 'EH1', 'SH', 'AH0', 'N']","['D', 'IH', 'P', 'R', 'EH', 'SH', 'AH', 'N']",NOUN,3,5
51,girlfriend,RLCH,real,long,complex,4.79e-05,8,4.68,"['G', 'ER1', 'L', 'F', 'R', 'EH2', 'N', 'D']","['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']",NOUN,2,6
52,functional,RLCH,real,long,complex,1.74e-05,9,4.24,"['F', 'AH1', 'NG', 'K', 'SH', 'AH0', 'N', 'AH0', 'L']","['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'AH', 'L']",ADJ,3,6
53,ambassador,RLCH,real,long,complex,2.24e-05,8,4.35,"['AE0', 'M', 'B', 'AE1', 'S', 'AH0', 'D', 'ER0']","['AE', 'M', 'B', 'AE', 'S', 'AH', 'D', 'ER']",NOUN,4,4
54,property,RLCH,real,long,complex,0.000129,7,5.11,"['P', 'R', 'AA1', 'P', 'ER0', 'T', 'IY0']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']",NOUN,3,4
55,memorial,RLCH,real,long,complex,2.57e-05,8,4.41,"['M', 'AH0', 'M', 'AO1', 'R', 'IY0', 'AH0', 'L']","['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']",NOUN,4,4
56,traveling,RLCH,real,long,complex,1.86e-05,8,4.27,"['T', 'R', 'AE1', 'V', 'AH0', 'L', 'IH0', 'NG']","['T', 'R', 'AE', 'V', 'AH', 'L', 'IH', 'NG']",VERB,3,5
57,percentage,RLCH,real,long,complex,3.02e-05,8,4.48,"['P', 'ER0', 'S', 'EH1', 'N', 'T', 'AH0', 'JH']","['P', 'ER', 'S', 'EH', 'N', 'T', 'AH', 'JH']",NOUN,3,5
58,extremely,RLCH,real,long,complex,6.17e-05,9,4.79,"['IH0', 'K', 'S', 'T', 'R', 'IY1', 'M', 'L', 'IY0']","['IH', 'K', 'S', 'T', 'R', 'IY', 'M', 'L', 'IY']",ADV,3,6
59,refused,RLCH,real,long,complex,3.47e-05,7,4.54,"['R', 'AH0', 'F', 'Y', 'UW1', 'Z', 'D']","['R', 'AH', 'F', 'Y', 'UW', 'Z', 'D']",VERB,2,5
60,legendary,RLCH,real,long,complex,1.7e-05,9,4.23,"['L', 'EH1', 'JH', 'AH0', 'N', 'D', 'EH2', 'R', 'IY0']","['L', 'EH', 'JH', 'AH', 'N', 'D', 'EH', 'R', 'IY']",ADJ,4,5
61,newspaper,RLCH,real,long,complex,3.98e-05,7,4.6,"['N', 'UW1', 'Z', 'P', 'EY2', 'P', 'ER0']","['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']",NOUN,3,4
62,assessment,RLCH,real,long,complex,2.88e-05,8,4.46,"['AH0', 'S', 'EH1', 'S', 'M', 'AH0', 'N', 'T']","['AH', 'S', 'EH', 'S', 'M', 'AH', 'N', 'T']",NOUN,3,5
63,develop,RLCH,real,long,complex,5.62e-05,7,4.75,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P']",VERB,3,4
64,alexander,RLCH,real,long,complex,2.51e-05,9,4.4,"['AE2', 'L', 'AH0', 'G', 'Z', 'AE1', 'N', 'D', 'ER0']","['AE', 'L', 'AH', 'G', 'Z', 'AE', 'N', 'D', 'ER']",PROPN,4,5
65,protection,RLCH,real,long,complex,7.08e-05,9,4.85,"['P', 'R', 'AH0', 'T', 'EH1', 'K', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'T', 'EH', 'K', 'SH', 'AH', 'N']",NOUN,3,6
66,dominant,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'AA1', 'M', 'AH0', 'N', 'AH0', 'N', 'T']","['D', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']",ADJ,3,5
67,guardian,RLCH,real,long,complex,1.82e-05,7,4.26,"['G', 'AA1', 'R', 'D', 'IY0', 'AH0', 'N']","['G', 'AA', 'R', 'D', 'IY', 'AH', 'N']",NOUN,3,4
68,supports,RLCH,real,long,complex,2.63e-05,7,4.42,"['S', 'AH0', 'P', 'AO1', 'R', 'T', 'S']","['S', 'AH', 'P', 'AO', 'R', 'T', 'S']",VERB,2,5
69,nigeria,RLCH,real,long,complex,2.14e-05,7,4.33,"['N', 'AY0', 'JH', 'IH1', 'R', 'IY0', 'AH0']","['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']",PROPN,4,3
70,expensive,RLCH,real,long,complex,4.9e-05,9,4.69,"['IH0', 'K', 'S', 'P', 'EH1', 'N', 'S', 'IH0', 'V']","['IH', 'K', 'S', 'P', 'EH', 'N', 'S', 'IH', 'V']",ADJ,3,6
71,developers,RLCH,real,long,complex,1.66e-05,9,4.22,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'ER0', 'Z']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER', 'Z']",NOUN,4,5
72,january,RLCH,real,long,complex,0.000123,8,5.09,"['JH', 'AE1', 'N', 'Y', 'UW0', 'EH2', 'R', 'IY0']","['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']",PROPN,4,4
73,findings,RLCH,real,long,complex,2.4e-05,7,4.38,"['F', 'AY1', 'N', 'D', 'IH0', 'NG', 'Z']","['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']",NOUN,2,5
74,extension,RLCH,real,long,complex,2.88e-05,9,4.46,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']","['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']",NOUN,3,6
75,describe,RLCH,real,long,complex,3.63e-05,7,4.56,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B']",VERB,2,5
76,friendly,RLCH,real,long,complex,4.37e-05,7,4.64,"['F', 'R', 'EH1', 'N', 'D', 'L', 'IY0']","['F', 'R', 'EH', 'N', 'D', 'L', 'IY']",ADJ,2,5
77,activities,RLCH,real,long,complex,8.13e-05,9,4.91,"['AE0', 'K', 'T', 'IH1', 'V', 'AH0', 'T', 'IY0', 'Z']","['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']",NOUN,4,5
78,christian,RLCH,real,long,complex,7.59e-05,7,4.88,"['K', 'R', 'IH1', 'S', 'CH', 'AH0', 'N']","['K', 'R', 'IH', 'S', 'CH', 'AH', 'N']",ADJ,2,5
79,introduced,RLCH,real,long,complex,5.25e-05,9,4.72,"['IH2', 'N', 'T', 'R', 'AH0', 'D', 'UW1', 'S', 'T']","['IH', 'N', 'T', 'R', 'AH', 'D', 'UW', 'S', 'T']",VERB,3,6
80,critical,RLCH,real,long,complex,6.76e-05,8,4.83,"['K', 'R', 'IH1', 'T', 'IH0', 'K', 'AH0', 'L']","['K', 'R', 'IH', 'T', 'IH', 'K', 'AH', 'L']",ADJ,3,5
81,journalist,RLCH,real,long,complex,2.4e-05,8,4.38,"['JH', 'ER1', 'N', 'AH0', 'L', 'AH0', 'S', 'T']","['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T']",NOUN,3,5
82,expecting,RLCH,real,long,complex,2.63e-05,9,4.42,"['IH0', 'K', 'S', 'P', 'EH1', 'K', 'T', 'IH0', 'NG']","['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'IH', 'NG']",VERB,3,6
83,integrity,RLCH,real,long,complex,1.66e-05,9,4.22,"['IH0', 'N', 'T', 'EH1', 'G', 'R', 'AH0', 'T', 'IY0']","['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']",NOUN,4,5
84,starting,RLCH,real,long,complex,0.000117,7,5.07,"['S', 'T', 'AA1', 'R', 'T', 'IH0', 'NG']","['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",VERB,2,5
85,threatened,RLCH,real,long,complex,2.29e-05,7,4.36,"['TH', 'R', 'EH1', 'T', 'AH0', 'N', 'D']","['TH', 'R', 'EH', 'T', 'AH', 'N', 'D']",VERB,2,5
86,offensive,RLCH,real,long,complex,2.88e-05,7,4.46,"['AH0', 'F', 'EH1', 'N', 'S', 'IH0', 'V']","['AH', 'F', 'EH', 'N', 'S', 'IH', 'V']",ADJ,3,4
87,problems,RLCH,real,long,complex,0.000155,8,5.19,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M', 'Z']","['P', 'R', 'AA', 'B', 'L', 'AH', 'M', 'Z']",NOUN,2,6
88,interesting,RLCH,real,long,complex,0.0001,9,5.0,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T', 'IH0', 'NG']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'IH', 'NG']",VERB,3,6
89,credits,RLCH,real,long,complex,1.86e-05,7,4.27,"['K', 'R', 'EH1', 'D', 'IH0', 'T', 'S']","['K', 'R', 'EH', 'D', 'IH', 'T', 'S']",NOUN,2,5
90,islamic,RLCH,real,long,complex,2.75e-05,7,4.44,"['IH0', 'Z', 'L', 'AA1', 'M', 'IH0', 'K']","['IH', 'Z', 'L', 'AA', 'M', 'IH', 'K']",ADJ,3,4
91,recording,RLCH,real,long,complex,3.24e-05,8,4.51,"['R', 'AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']","['R', 'AH', 'K', 'AO', 'R', 'D', 'IH', 'NG']",VERB,3,5
92,advanced,RLCH,real,long,complex,5.13e-05,7,4.71,"['AH0', 'D', 'V', 'AE1', 'N', 'S', 'T']","['AH', 'D', 'V', 'AE', 'N', 'S', 'T']",ADJ,2,5
93,premium,RLCH,real,long,complex,2.14e-05,7,4.33,"['P', 'R', 'IY1', 'M', 'IY0', 'AH0', 'M']","['P', 'R', 'IY', 'M', 'IY', 'AH', 'M']",NOUN,3,4
94,december,RLCH,real,long,complex,0.000117,7,5.07,"['D', 'IH0', 'S', 'EH1', 'M', 'B', 'ER0']","['D', 'IH', 'S', 'EH', 'M', 'B', 'ER']",PROPN,3,4
95,emergency,RLCH,real,long,complex,5.25e-05,8,4.72,"['IH0', 'M', 'ER1', 'JH', 'AH0', 'N', 'S', 'IY0']","['IH', 'M', 'ER', 'JH', 'AH', 'N', 'S', 'IY']",NOUN,4,4
96,mechanism,RLCH,real,long,complex,1.86e-05,9,4.27,"['M', 'EH1', 'K', 'AH0', 'N', 'IH2', 'Z', 'AH0', 'M']","['M', 'EH', 'K', 'AH', 'N', 'IH', 'Z', 'AH', 'M']",NOUN,4,5
97,situations,RLCH,real,long,complex,2.95e-05,9,4.47,"['S', 'IH2', 'CH', 'UW0', 'EY1', 'SH', 'AH0', 'N', 'Z']","['S', 'IH', 'CH', 'UW', 'EY', 'SH', 'AH', 'N', 'Z']",NOUN,4,5
98,evolution,RLCH,real,long,complex,2.57e-05,8,4.41,"['EH2', 'V', 'AH0', 'L', 'UW1', 'SH', 'AH0', 'N']","['EH', 'V', 'AH', 'L', 'UW', 'SH', 'AH', 'N']",NOUN,4,4
99,employers,RLCH,real,long,complex,1.78e-05,7,4.25,"['EH0', 'M', 'P', 'L', 'OY1', 'ER0', 'Z']","['EH', 'M', 'P', 'L', 'OY', 'ER', 'Z']",NOUN,3,4
100,confluence,RLCL,real,long,complex,1.32e-06,9,3.12,"['K', 'AA1', 'N', 'F', 'L', 'UW0', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'L', 'UW', 'AH', 'N', 'S']",NOUN,3,6
101,raspberries,RLCL,real,long,complex,9.55e-07,8,2.98,"['R', 'AE1', 'Z', 'B', 'EH2', 'R', 'IY0', 'Z']","['R', 'AE', 'Z', 'B', 'EH', 'R', 'IY', 'Z']",NOUN,3,5
102,syrians,RLCL,real,long,complex,1.38e-06,7,3.14,"['S', 'IH1', 'R', 'IY0', 'AH0', 'N', 'Z']","['S', 'IH', 'R', 'IY', 'AH', 'N', 'Z']",PROPN,3,4
103,reassurance,RLCL,real,long,complex,1.86e-06,9,3.27,"['R', 'IY2', 'AH0', 'SH', 'UH1', 'R', 'AH0', 'N', 'S']","['R', 'IY', 'AH', 'SH', 'UH', 'R', 'AH', 'N', 'S']",NOUN,4,5
104,generously,RLCL,real,long,complex,1.95e-06,8,3.29,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'S', 'L', 'IY0']","['JH', 'EH', 'N', 'ER', 'AH', 'S', 'L', 'IY']",ADV,4,4
105,patrolled,RLCL,real,long,complex,7.94e-07,7,2.9,"['P', 'AH0', 'T', 'R', 'OW1', 'L', 'D']","['P', 'AH', 'T', 'R', 'OW', 'L', 'D']",VERB,2,5
106,telemetry,RLCL,real,long,complex,1e-06,9,3.0,"['T', 'AH0', 'L', 'EH1', 'M', 'AH0', 'T', 'R', 'IY0']","['T', 'AH', 'L', 'EH', 'M', 'AH', 'T', 'R', 'IY']",NOUN,4,5
107,womanhood,RLCL,real,long,complex,7.59e-07,8,2.88,"['W', 'UH1', 'M', 'AH0', 'N', 'HH', 'UH2', 'D']","['W', 'UH', 'M', 'AH', 'N', 'HH', 'UH', 'D']",NOUN,3,5
108,correlated,RLCL,real,long,complex,3.16e-06,9,3.5,"['K', 'AO1', 'R', 'AH0', 'L', 'EY2', 'T', 'AH0', 'D']","['K', 'AO', 'R', 'AH', 'L', 'EY', 'T', 'AH', 'D']",VERB,4,5
109,precarious,RLCL,real,long,complex,1.86e-06,9,3.27,"['P', 'R', 'IY0', 'K', 'EH1', 'R', 'IY0', 'AH0', 'S']","['P', 'R', 'IY', 'K', 'EH', 'R', 'IY', 'AH', 'S']",ADJ,4,5
110,narcissist,RLCL,real,long,complex,9.77e-07,9,2.99,"['N', 'AA1', 'R', 'S', 'IH0', 'S', 'IH0', 'S', 'T']","['N', 'AA', 'R', 'S', 'IH', 'S', 'IH', 'S', 'T']",NOUN,3,6
111,biosphere,RLCL,real,long,complex,7.76e-07,7,2.89,"['B', 'AY1', 'OW0', 'S', 'F', 'IH2', 'R']","['B', 'AY', 'OW', 'S', 'F', 'IH', 'R']",ADV,3,4
112,implants,RLCL,real,long,complex,3.16e-06,8,3.5,"['IH1', 'M', 'P', 'L', 'AE2', 'N', 'T', 'S']","['IH', 'M', 'P', 'L', 'AE', 'N', 'T', 'S']",NOUN,2,6
113,habitats,RLCL,real,long,complex,3.09e-06,8,3.49,"['HH', 'AE1', 'B', 'AH0', 'T', 'AE2', 'T', 'S']","['HH', 'AE', 'B', 'AH', 'T', 'AE', 'T', 'S']",NOUN,3,5
114,comedians,RLCL,real,long,complex,3.09e-06,9,3.49,"['K', 'AH0', 'M', 'IY1', 'D', 'IY0', 'AH0', 'N', 'Z']","['K', 'AH', 'M', 'IY', 'D', 'IY', 'AH', 'N', 'Z']",NOUN,4,5
115,decimal,RLCL,real,long,complex,1.91e-06,7,3.28,"['D', 'EH1', 'S', 'AH0', 'M', 'AH0', 'L']","['D', 'EH', 'S', 'AH', 'M', 'AH', 'L']",ADJ,3,4
116,blockbuster,RLCL,real,long,complex,3.02e-06,9,3.48,"['B', 'L', 'AA1', 'K', 'B', 'AH2', 'S', 'T', 'ER0']","['B', 'L', 'AA', 'K', 'B', 'AH', 'S', 'T', 'ER']",NOUN,3,6
117,superfluous,RLCL,real,long,complex,1e-06,9,3.0,"['S', 'UW1', 'P', 'ER0', 'F', 'L', 'W', 'AH2', 'S']","['S', 'UW', 'P', 'ER', 'F', 'L', 'W', 'AH', 'S']",ADJ,3,6
118,superpowers,RLCL,real,long,complex,1.38e-06,8,3.14,"['S', 'UW2', 'P', 'ER0', 'P', 'AW1', 'ER0', 'Z']","['S', 'UW', 'P', 'ER', 'P', 'AW', 'ER', 'Z']",NOUN,4,4
119,hologram,RLCL,real,long,complex,1.29e-06,8,3.11,"['HH', 'AA1', 'L', 'AH0', 'G', 'R', 'AE2', 'M']","['HH', 'AA', 'L', 'AH', 'G', 'R', 'AE', 'M']",PROPN,3,5
120,duplex,RLCL,real,long,complex,1.35e-06,7,3.13,"['D', 'UW1', 'P', 'L', 'EH2', 'K', 'S']","['D', 'UW', 'P', 'L', 'EH', 'K', 'S']",NOUN,2,5
