,Phonemes,No_Stress,Sonority,Type,Length
88,"['P', 'B', 'AW0']","['P', 'B', 'AW']",0,CCV,3
89,"['AW0', 'P', 'B']","['AW', 'P', 'B']",0,VCC,3
90,"['P', 'D', 'AH0']","['P', 'D', 'AH']",0,CCV,3
91,"['AH0', 'P', 'D']","['AH', 'P', 'D']",0,VCC,3
92,"['P', 'D', 'OY0']","['P', 'D', 'OY']",0,CCV,3
93,"['OY0', 'P', 'D']","['OY', 'P', 'D']",0,VCC,3
94,"['P', 'D', 'AA0']","['P', 'D', 'AA']",0,CCV,3
95,"['AA0', 'P', 'D']","['AA', 'P', 'D']",0,VCC,3
96,"['P', 'D', 'AY0']","['P', 'D', 'AY']",0,CCV,3
97,"['AY0', 'P', 'D']","['AY', 'P', 'D']",0,VCC,3
98,"['P', 'D', 'ER0']","['P', 'D', 'ER']",0,CCV,3
99,"['ER0', 'P', 'D']","['ER', 'P', 'D']",0,VCC,3
100,"['P', 'D', 'AO0']","['P', 'D', 'AO']",0,CCV,3
101,"['AO0', 'P', 'D']","['AO', 'P', 'D']",0,VCC,3
102,"['P', 'D', 'UW0']","['P', 'D', 'UW']",0,CCV,3
103,"['UW0', 'P', 'D']","['UW', 'P', 'D']",0,VCC,3
104,"['P', 'D', 'IH0']","['P', 'D', 'IH']",0,CCV,3
105,"['IH0', 'P', 'D']","['IH', 'P', 'D']",0,VCC,3
106,"['P', 'D', 'EH0']","['P', 'D', 'EH']",0,CCV,3
107,"['EH0', 'P', 'D']","['EH', 'P', 'D']",0,VCC,3
108,"['P', 'D', 'UH0']","['P', 'D', 'UH']",0,CCV,3
109,"['UH0', 'P', 'D']","['UH', 'P', 'D']",0,VCC,3
110,"['P', 'D', 'IY0']","['P', 'D', 'IY']",0,CCV,3
111,"['IY0', 'P', 'D']","['IY', 'P', 'D']",0,VCC,3
112,"['P', 'D', 'EY0']","['P', 'D', 'EY']",0,CCV,3
113,"['EY0', 'P', 'D']","['EY', 'P', 'D']",0,VCC,3
114,"['P', 'D', 'OW0']","['P', 'D', 'OW']",0,CCV,3
115,"['OW0', 'P', 'D']","['OW', 'P', 'D']",0,VCC,3
116,"['P', 'D', 'AE0']","['P', 'D', 'AE']",0,CCV,3
117,"['AE0', 'P', 'D']","['AE', 'P', 'D']",0,VCC,3
118,"['P', 'D', 'AW0']","['P', 'D', 'AW']",0,CCV,3
119,"['AW0', 'P', 'D']","['AW', 'P', 'D']",0,VCC,3
120,"['P', 'G', 'AH0']","['P', 'G', 'AH']",0,CCV,3
121,"['AH0', 'P', 'G']","['AH', 'P', 'G']",0,VCC,3
122,"['P', 'G', 'OY0']","['P', 'G', 'OY']",0,CCV,3
123,"['OY0', 'P', 'G']","['OY', 'P', 'G']",0,VCC,3
124,"['P', 'G', 'AA0']","['P', 'G', 'AA']",0,CCV,3
125,"['AA0', 'P', 'G']","['AA', 'P', 'G']",0,VCC,3
126,"['P', 'G', 'AY0']","['P', 'G', 'AY']",0,CCV,3
127,"['AY0', 'P', 'G']","['AY', 'P', 'G']",0,VCC,3
128,"['P', 'G', 'ER0']","['P', 'G', 'ER']",0,CCV,3
129,"['ER0', 'P', 'G']","['ER', 'P', 'G']",0,VCC,3
130,"['P', 'G', 'AO0']","['P', 'G', 'AO']",0,CCV,3
131,"['AO0', 'P', 'G']","['AO', 'P', 'G']",0,VCC,3
132,"['P', 'G', 'UW0']","['P', 'G', 'UW']",0,CCV,3
133,"['UW0', 'P', 'G']","['UW', 'P', 'G']",0,VCC,3
134,"['P', 'G', 'IH0']","['P', 'G', 'IH']",0,CCV,3
135,"['IH0', 'P', 'G']","['IH', 'P', 'G']",0,VCC,3
136,"['P', 'G', 'EH0']","['P', 'G', 'EH']",0,CCV,3
137,"['EH0', 'P', 'G']","['EH', 'P', 'G']",0,VCC,3
138,"['P', 'G', 'UH0']","['P', 'G', 'UH']",0,CCV,3
139,"['UH0', 'P', 'G']","['UH', 'P', 'G']",0,VCC,3
140,"['P', 'G', 'IY0']","['P', 'G', 'IY']",0,CCV,3
141,"['IY0', 'P', 'G']","['IY', 'P', 'G']",0,VCC,3
142,"['P', 'G', 'EY0']","['P', 'G', 'EY']",0,CCV,3
143,"['EY0', 'P', 'G']","['EY', 'P', 'G']",0,VCC,3
144,"['P', 'G', 'OW0']","['P', 'G', 'OW']",0,CCV,3
145,"['OW0', 'P', 'G']","['OW', 'P', 'G']",0,VCC,3
146,"['P', 'G', 'AE0']","['P', 'G', 'AE']",0,CCV,3
147,"['AE0', 'P', 'G']","['AE', 'P', 'G']",0,VCC,3
148,"['P', 'G', 'AW0']","['P', 'G', 'AW']",0,CCV,3
149,"['AW0', 'P', 'G']","['AW', 'P', 'G']",0,VCC,3
150,"['P', 'F', 'AH0']","['P', 'F', 'AH']",1,CCV,3
151,"['AH0', 'P', 'F']","['AH', 'P', 'F']",-1,VCC,3
152,"['P', 'F', 'OY0']","['P', 'F', 'OY']",1,CCV,3
153,"['OY0', 'P', 'F']","['OY', 'P', 'F']",-1,VCC,3
154,"['P', 'F', 'AA0']","['P', 'F', 'AA']",1,CCV,3
155,"['AA0', 'P', 'F']","['AA', 'P', 'F']",-1,VCC,3
156,"['P', 'F', 'AY0']","['P', 'F', 'AY']",1,CCV,3
157,"['AY0', 'P', 'F']","['AY', 'P', 'F']",-1,VCC,3
158,"['P', 'F', 'ER0']","['P', 'F', 'ER']",1,CCV,3
159,"['ER0', 'P', 'F']","['ER', 'P', 'F']",-1,VCC,3
160,"['P', 'F', 'AO0']","['P', 'F', 'AO']",1,CCV,3
161,"['AO0', 'P', 'F']","['AO', 'P', 'F']",-1,VCC,3
162,"['P', 'F', 'UW0']","['P', 'F', 'UW']",1,CCV,3
163,"['UW0', 'P', 'F']","['UW', 'P', 'F']",-1,VCC,3
164,"['P', 'F', 'IH0']","['P', 'F', 'IH']",1,CCV,3
165,"['IH0', 'P', 'F']","['IH', 'P', 'F']",-1,VCC,3
166,"['P', 'F', 'EH0']","['P', 'F', 'EH']",1,CCV,3
167,"['EH0', 'P', 'F']","['EH', 'P', 'F']",-1,VCC,3
168,"['P', 'F', 'UH0']","['P', 'F', 'UH']",1,CCV,3
169,"['UH0', 'P', 'F']","['UH', 'P', 'F']",-1,VCC,3
170,"['P', 'F', 'IY0']","['P', 'F', 'IY']",1,CCV,3
171,"['IY0', 'P', 'F']","['IY', 'P', 'F']",-1,VCC,3
172,"['P', 'F', 'EY0']","['P', 'F', 'EY']",1,CCV,3
173,"['EY0', 'P', 'F']","['EY', 'P', 'F']",-1,VCC,3
174,"['P', 'F', 'OW0']","['P', 'F', 'OW']",1,CCV,3
175,"['OW0', 'P', 'F']","['OW', 'P', 'F']",-1,VCC,3
176,"['P', 'F', 'AE0']","['P', 'F', 'AE']",1,CCV,3
177,"['AE0', 'P', 'F']","['AE', 'P', 'F']",-1,VCC,3
178,"['P', 'F', 'AW0']","['P', 'F', 'AW']",1,CCV,3
179,"['AW0', 'P', 'F']","['AW', 'P', 'F']",-1,VCC,3
180,"['P', 'TH', 'AH0']","['P', 'TH', 'AH']",1,CCV,3
181,"['AH0', 'P', 'TH']","['AH', 'P', 'TH']",-1,VCC,3
182,"['P', 'TH', 'OY0']","['P', 'TH', 'OY']",1,CCV,3
183,"['OY0', 'P', 'TH']","['OY', 'P', 'TH']",-1,VCC,3
184,"['P', 'TH', 'AA0']","['P', 'TH', 'AA']",1,CCV,3
185,"['AA0', 'P', 'TH']","['AA', 'P', 'TH']",-1,VCC,3
186,"['P', 'TH', 'AY0']","['P', 'TH', 'AY']",1,CCV,3
187,"['AY0', 'P', 'TH']","['AY', 'P', 'TH']",-1,VCC,3
188,"['P', 'TH', 'ER0']","['P', 'TH', 'ER']",1,CCV,3
189,"['ER0', 'P', 'TH']","['ER', 'P', 'TH']",-1,VCC,3
190,"['P', 'TH', 'AO0']","['P', 'TH', 'AO']",1,CCV,3
191,"['AO0', 'P', 'TH']","['AO', 'P', 'TH']",-1,VCC,3
192,"['P', 'TH', 'UW0']","['P', 'TH', 'UW']",1,CCV,3
193,"['UW0', 'P', 'TH']","['UW', 'P', 'TH']",-1,VCC,3
194,"['P', 'TH', 'IH0']","['P', 'TH', 'IH']",1,CCV,3
195,"['IH0', 'P', 'TH']","['IH', 'P', 'TH']",-1,VCC,3
196,"['P', 'TH', 'EH0']","['P', 'TH', 'EH']",1,CCV,3
197,"['EH0', 'P', 'TH']","['EH', 'P', 'TH']",-1,VCC,3
198,"['P', 'TH', 'UH0']","['P', 'TH', 'UH']",1,CCV,3
199,"['UH0', 'P', 'TH']","['UH', 'P', 'TH']",-1,VCC,3
200,"['P', 'TH', 'IY0']","['P', 'TH', 'IY']",1,CCV,3
201,"['IY0', 'P', 'TH']","['IY', 'P', 'TH']",-1,VCC,3
202,"['P', 'TH', 'EY0']","['P', 'TH', 'EY']",1,CCV,3
203,"['EY0', 'P', 'TH']","['EY', 'P', 'TH']",-1,VCC,3
204,"['P', 'TH', 'OW0']","['P', 'TH', 'OW']",1,CCV,3
205,"['OW0', 'P', 'TH']","['OW', 'P', 'TH']",-1,VCC,3
206,"['P', 'TH', 'AE0']","['P', 'TH', 'AE']",1,CCV,3
207,"['AE0', 'P', 'TH']","['AE', 'P', 'TH']",-1,VCC,3
208,"['P', 'TH', 'AW0']","['P', 'TH', 'AW']",1,CCV,3
209,"['AW0', 'P', 'TH']","['AW', 'P', 'TH']",-1,VCC,3
210,"['P', 'S', 'AH0']","['P', 'S', 'AH']",1,CCV,3
211,"['AH0', 'P', 'S']","['AH', 'P', 'S']",-1,VCC,3
212,"['P', 'S', 'OY0']","['P', 'S', 'OY']",1,CCV,3
213,"['OY0', 'P', 'S']","['OY', 'P', 'S']",-1,VCC,3
214,"['P', 'S', 'AA0']","['P', 'S', 'AA']",1,CCV,3
215,"['AA0', 'P', 'S']","['AA', 'P', 'S']",-1,VCC,3
216,"['P', 'S', 'AY0']","['P', 'S', 'AY']",1,CCV,3
217,"['AY0', 'P', 'S']","['AY', 'P', 'S']",-1,VCC,3
218,"['P', 'S', 'ER0']","['P', 'S', 'ER']",1,CCV,3
219,"['ER0', 'P', 'S']","['ER', 'P', 'S']",-1,VCC,3
220,"['P', 'S', 'AO0']","['P', 'S', 'AO']",1,CCV,3
221,"['AO0', 'P', 'S']","['AO', 'P', 'S']",-1,VCC,3
222,"['P', 'S', 'UW0']","['P', 'S', 'UW']",1,CCV,3
223,"['UW0', 'P', 'S']","['UW', 'P', 'S']",-1,VCC,3
224,"['P', 'S', 'IH0']","['P', 'S', 'IH']",1,CCV,3
225,"['IH0', 'P', 'S']","['IH', 'P', 'S']",-1,VCC,3
226,"['P', 'S', 'EH0']","['P', 'S', 'EH']",1,CCV,3
227,"['EH0', 'P', 'S']","['EH', 'P', 'S']",-1,VCC,3
228,"['P', 'S', 'UH0']","['P', 'S', 'UH']",1,CCV,3
229,"['UH0', 'P', 'S']","['UH', 'P', 'S']",-1,VCC,3
230,"['P', 'S', 'IY0']","['P', 'S', 'IY']",1,CCV,3
231,"['IY0', 'P', 'S']","['IY', 'P', 'S']",-1,VCC,3
232,"['P', 'S', 'EY0']","['P', 'S', 'EY']",1,CCV,3
233,"['EY0', 'P', 'S']","['EY', 'P', 'S']",-1,VCC,3
234,"['P', 'S', 'OW0']","['P', 'S', 'OW']",1,CCV,3
235,"['OW0', 'P', 'S']","['OW', 'P', 'S']",-1,VCC,3
236,"['P', 'S', 'AE0']","['P', 'S', 'AE']",1,CCV,3
237,"['AE0', 'P', 'S']","['AE', 'P', 'S']",-1,VCC,3
238,"['P', 'S', 'AW0']","['P', 'S', 'AW']",1,CCV,3
239,"['AW0', 'P', 'S']","['AW', 'P', 'S']",-1,VCC,3
240,"['P', 'SH', 'AH0']","['P', 'SH', 'AH']",1,CCV,3
241,"['AH0', 'P', 'SH']","['AH', 'P', 'SH']",-1,VCC,3
242,"['P', 'SH', 'OY0']","['P', 'SH', 'OY']",1,CCV,3
243,"['OY0', 'P', 'SH']","['OY', 'P', 'SH']",-1,VCC,3
244,"['P', 'SH', 'AA0']","['P', 'SH', 'AA']",1,CCV,3
245,"['AA0', 'P', 'SH']","['AA', 'P', 'SH']",-1,VCC,3
246,"['P', 'SH', 'AY0']","['P', 'SH', 'AY']",1,CCV,3
247,"['AY0', 'P', 'SH']","['AY', 'P', 'SH']",-1,VCC,3
248,"['P', 'SH', 'ER0']","['P', 'SH', 'ER']",1,CCV,3
249,"['ER0', 'P', 'SH']","['ER', 'P', 'SH']",-1,VCC,3
250,"['P', 'SH', 'AO0']","['P', 'SH', 'AO']",1,CCV,3
251,"['AO0', 'P', 'SH']","['AO', 'P', 'SH']",-1,VCC,3
252,"['P', 'SH', 'UW0']","['P', 'SH', 'UW']",1,CCV,3
253,"['UW0', 'P', 'SH']","['UW', 'P', 'SH']",-1,VCC,3
254,"['P', 'SH', 'IH0']","['P', 'SH', 'IH']",1,CCV,3
255,"['IH0', 'P', 'SH']","['IH', 'P', 'SH']",-1,VCC,3
256,"['P', 'SH', 'EH0']","['P', 'SH', 'EH']",1,CCV,3
257,"['EH0', 'P', 'SH']","['EH', 'P', 'SH']",-1,VCC,3
258,"['P', 'SH', 'UH0']","['P', 'SH', 'UH']",1,CCV,3
259,"['UH0', 'P', 'SH']","['UH', 'P', 'SH']",-1,VCC,3
260,"['P', 'SH', 'IY0']","['P', 'SH', 'IY']",1,CCV,3
261,"['IY0', 'P', 'SH']","['IY', 'P', 'SH']",-1,VCC,3
262,"['P', 'SH', 'EY0']","['P', 'SH', 'EY']",1,CCV,3
263,"['EY0', 'P', 'SH']","['EY', 'P', 'SH']",-1,VCC,3
264,"['P', 'SH', 'OW0']","['P', 'SH', 'OW']",1,CCV,3
265,"['OW0', 'P', 'SH']","['OW', 'P', 'SH']",-1,VCC,3
266,"['P', 'SH', 'AE0']","['P', 'SH', 'AE']",1,CCV,3
267,"['AE0', 'P', 'SH']","['AE', 'P', 'SH']",-1,VCC,3
268,"['P', 'SH', 'AW0']","['P', 'SH', 'AW']",1,CCV,3
269,"['AW0', 'P', 'SH']","['AW', 'P', 'SH']",-1,VCC,3
270,"['P', 'Z', 'AH0']","['P', 'Z', 'AH']",1,CCV,3
271,"['AH0', 'P', 'Z']","['AH', 'P', 'Z']",-1,VCC,3
272,"['P', 'Z', 'OY0']","['P', 'Z', 'OY']",1,CCV,3
273,"['OY0', 'P', 'Z']","['OY', 'P', 'Z']",-1,VCC,3
274,"['P', 'Z', 'AA0']","['P', 'Z', 'AA']",1,CCV,3
275,"['AA0', 'P', 'Z']","['AA', 'P', 'Z']",-1,VCC,3
276,"['P', 'Z', 'AY0']","['P', 'Z', 'AY']",1,CCV,3
277,"['AY0', 'P', 'Z']","['AY', 'P', 'Z']",-1,VCC,3
278,"['P', 'Z', 'ER0']","['P', 'Z', 'ER']",1,CCV,3
279,"['ER0', 'P', 'Z']","['ER', 'P', 'Z']",-1,VCC,3
280,"['P', 'Z', 'AO0']","['P', 'Z', 'AO']",1,CCV,3
281,"['AO0', 'P', 'Z']","['AO', 'P', 'Z']",-1,VCC,3
282,"['P', 'Z', 'UW0']","['P', 'Z', 'UW']",1,CCV,3
283,"['UW0', 'P', 'Z']","['UW', 'P', 'Z']",-1,VCC,3
284,"['P', 'Z', 'IH0']","['P', 'Z', 'IH']",1,CCV,3
285,"['IH0', 'P', 'Z']","['IH', 'P', 'Z']",-1,VCC,3
286,"['P', 'Z', 'EH0']","['P', 'Z', 'EH']",1,CCV,3
287,"['EH0', 'P', 'Z']","['EH', 'P', 'Z']",-1,VCC,3
288,"['P', 'Z', 'UH0']","['P', 'Z', 'UH']",1,CCV,3
289,"['UH0', 'P', 'Z']","['UH', 'P', 'Z']",-1,VCC,3
290,"['P', 'Z', 'IY0']","['P', 'Z', 'IY']",1,CCV,3
291,"['IY0', 'P', 'Z']","['IY', 'P', 'Z']",-1,VCC,3
292,"['P', 'Z', 'EY0']","['P', 'Z', 'EY']",1,CCV,3
293,"['EY0', 'P', 'Z']","['EY', 'P', 'Z']",-1,VCC,3
294,"['P', 'Z', 'OW0']","['P', 'Z', 'OW']",1,CCV,3
295,"['OW0', 'P', 'Z']","['OW', 'P', 'Z']",-1,VCC,3
296,"['P', 'Z', 'AE0']","['P', 'Z', 'AE']",1,CCV,3
297,"['AE0', 'P', 'Z']","['AE', 'P', 'Z']",-1,VCC,3
298,"['P', 'Z', 'AW0']","['P', 'Z', 'AW']",1,CCV,3
299,"['AW0', 'P', 'Z']","['AW', 'P', 'Z']",-1,VCC,3
300,"['P', 'ZH', 'AH0']","['P', 'ZH', 'AH']",1,CCV,3
301,"['AH0', 'P', 'ZH']","['AH', 'P', 'ZH']",-1,VCC,3
302,"['P', 'ZH', 'OY0']","['P', 'ZH', 'OY']",1,CCV,3
303,"['OY0', 'P', 'ZH']","['OY', 'P', 'ZH']",-1,VCC,3
304,"['P', 'ZH', 'AA0']","['P', 'ZH', 'AA']",1,CCV,3
305,"['AA0', 'P', 'ZH']","['AA', 'P', 'ZH']",-1,VCC,3
306,"['P', 'ZH', 'AY0']","['P', 'ZH', 'AY']",1,CCV,3
307,"['AY0', 'P', 'ZH']","['AY', 'P', 'ZH']",-1,VCC,3
308,"['P', 'ZH', 'ER0']","['P', 'ZH', 'ER']",1,CCV,3
309,"['ER0', 'P', 'ZH']","['ER', 'P', 'ZH']",-1,VCC,3
310,"['P', 'ZH', 'AO0']","['P', 'ZH', 'AO']",1,CCV,3
311,"['AO0', 'P', 'ZH']","['AO', 'P', 'ZH']",-1,VCC,3
312,"['P', 'ZH', 'UW0']","['P', 'ZH', 'UW']",1,CCV,3
313,"['UW0', 'P', 'ZH']","['UW', 'P', 'ZH']",-1,VCC,3
314,"['P', 'ZH', 'IH0']","['P', 'ZH', 'IH']",1,CCV,3
315,"['IH0', 'P', 'ZH']","['IH', 'P', 'ZH']",-1,VCC,3
316,"['P', 'ZH', 'EH0']","['P', 'ZH', 'EH']",1,CCV,3
317,"['EH0', 'P', 'ZH']","['EH', 'P', 'ZH']",-1,VCC,3
318,"['P', 'ZH', 'UH0']","['P', 'ZH', 'UH']",1,CCV,3
319,"['UH0', 'P', 'ZH']","['UH', 'P', 'ZH']",-1,VCC,3
320,"['P', 'ZH', 'IY0']","['P', 'ZH', 'IY']",1,CCV,3
321,"['IY0', 'P', 'ZH']","['IY', 'P', 'ZH']",-1,VCC,3
322,"['P', 'ZH', 'EY0']","['P', 'ZH', 'EY']",1,CCV,3
323,"['EY0', 'P', 'ZH']","['EY', 'P', 'ZH']",-1,VCC,3
324,"['P', 'ZH', 'OW0']","['P', 'ZH', 'OW']",1,CCV,3
325,"['OW0', 'P', 'ZH']","['OW', 'P', 'ZH']",-1,VCC,3
326,"['P', 'ZH', 'AE0']","['P', 'ZH', 'AE']",1,CCV,3
327,"['AE0', 'P', 'ZH']","['AE', 'P', 'ZH']",-1,VCC,3
328,"['P', 'ZH', 'AW0']","['P', 'ZH', 'AW']",1,CCV,3
329,"['AW0', 'P', 'ZH']","['AW', 'P', 'ZH']",-1,VCC,3
330,"['P', 'V', 'AH0']","['P', 'V', 'AH']",1,CCV,3
331,"['AH0', 'P', 'V']","['AH', 'P', 'V']",-1,VCC,3
332,"['P', 'V', 'OY0']","['P', 'V', 'OY']",1,CCV,3
333,"['OY0', 'P', 'V']","['OY', 'P', 'V']",-1,VCC,3
334,"['P', 'V', 'AA0']","['P', 'V', 'AA']",1,CCV,3
335,"['AA0', 'P', 'V']","['AA', 'P', 'V']",-1,VCC,3
336,"['P', 'V', 'AY0']","['P', 'V', 'AY']",1,CCV,3
337,"['AY0', 'P', 'V']","['AY', 'P', 'V']",-1,VCC,3
338,"['P', 'V', 'ER0']","['P', 'V', 'ER']",1,CCV,3
339,"['ER0', 'P', 'V']","['ER', 'P', 'V']",-1,VCC,3
340,"['P', 'V', 'AO0']","['P', 'V', 'AO']",1,CCV,3
341,"['AO0', 'P', 'V']","['AO', 'P', 'V']",-1,VCC,3
342,"['P', 'V', 'UW0']","['P', 'V', 'UW']",1,CCV,3
343,"['UW0', 'P', 'V']","['UW', 'P', 'V']",-1,VCC,3
344,"['P', 'V', 'IH0']","['P', 'V', 'IH']",1,CCV,3
345,"['IH0', 'P', 'V']","['IH', 'P', 'V']",-1,VCC,3
346,"['P', 'V', 'EH0']","['P', 'V', 'EH']",1,CCV,3
347,"['EH0', 'P', 'V']","['EH', 'P', 'V']",-1,VCC,3
348,"['P', 'V', 'UH0']","['P', 'V', 'UH']",1,CCV,3
349,"['UH0', 'P', 'V']","['UH', 'P', 'V']",-1,VCC,3
350,"['P', 'V', 'IY0']","['P', 'V', 'IY']",1,CCV,3
351,"['IY0', 'P', 'V']","['IY', 'P', 'V']",-1,VCC,3
352,"['P', 'V', 'EY0']","['P', 'V', 'EY']",1,CCV,3
353,"['EY0', 'P', 'V']","['EY', 'P', 'V']",-1,VCC,3
354,"['P', 'V', 'OW0']","['P', 'V', 'OW']",1,CCV,3
355,"['OW0', 'P', 'V']","['OW', 'P', 'V']",-1,VCC,3
